《世界》  【月別】  （輸出）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORLD Monthly Data  (Export),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報道発表品目名,総額,１．食料品,,,,,,２．原料品,,,,,,３．鉱物性燃料,,４．化学製品,,有機化合物,,医薬品,,プラスチック,,５．原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸・繊維製品,,非金属鉱物製品,,ゴム製品,,紙類・紙製品,,６．一般機械,,原動機,,電算機類(含周辺機器),,電算機類の部分品,,半導体等製造装置,,金属加工機械,,ポンプ・遠心分離機,,建設用・鉱山用機械,,荷役機械,,加熱用・冷却用機器,,繊維機械,,ベアリング,,７．電気機器,,半導体等電子部品,,（ＩＣ）,,音響・映像機器,,,,（映像記録・再生機器）,,（テレビ受像機）,,,,音響・映像機器の部分品,,重電機器,,通信機,,電気計測機器,,電気回路等の機器,,電池,,８．輸送用機器,,自動車,,（乗用車）,,（バス・トラック）,,自動車の部分品,,二輪自動車,,航空機類,,船舶,,９．その他,,,,,,科学光学機器,,写真用・映画用材料,
概況品名,,,,食料品及び動物,,飲料及びたばこ,,,,原材料,,動植物性油脂,,鉱物性燃料,,化学製品,,有機化合物,,医薬品,,プラスチック,,原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸及び繊維製品,,非金属鉱物製品,,ゴム製品,,紙類及び同製品,,一般機械,,原動機,,(電算機類(含周辺機器)),,(電算機類の部分品),,半導体等製造装置,,金属加工機械,,ポンプ及び遠心分離機,,建設用・鉱山用機械,,荷役機械,,加熱用・冷却用機器,,繊維機械,,ベアリング及び同部分品,,電気機器,,半導体等電子部品,,（ＩＣ）,,,,映像機器,,（映像記録・再生機器）,,（テレビ受像機）,,音響機器,,音響・映像機器の部分品,,重電機器,,通信機,,電気計測機器,,電気回路等の機器,,電池,,輸送用機器,,自動車,,（乗用車）,,（バス・トラック）,,自動車の部分品,,二輪自動車・原動機付自転車,,航空機類,,船舶,,,,雑製品,,特殊取扱品,,科学光学機器,,写真用・映画用材料,
概況品コード,'0'〜'9','0'+'1',,'0',,'1',,'2'+'4',,'2',,'4',,'3',,'5',,'50101',,'507',,'515',,'6',,'611',,'613',,'615',,'607',,'609',,'603',,'606',,'701',,'70101',,'7010505',,'7010507',,'70131',,'70107',,'70125',,'70119',,'70127',,'70123',,'70109',,'70129',,'703',,'70323',,'7032305',,'70309'+'70311',,'70309',,'7030903',,'7030901',,'70311',,'70313',,'70301',,'70315',,'70327',,'70303',,'70319',,'705',,'70503',,'7050301',,'7050303',,'70505',,'7050701',,'70511',,'7051301',,'8'+'9',,'8',,'9',,'81101',,'81301',
,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額
Years/Months,(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位：MT),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位：KG),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位：NO),(千円),(単位),(千円),(単位：NO),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円)
1988/01,2187613965 ,-,14091115 ,-,13192617 ,-,898498 ,-,15865629 ,-,14309145 ,25097 ,1556484 ,-,6789124 ,-,116204090 ,-,43408746 ,1704549 ,6005301 ,114974 ,31965007 ,-,268515061 ,1642780 ,116775422 ,33197 ,17361928 ,-,31090815 ,-,38020499 ,-,23206479 ,65589 ,24938176 ,78977 ,14315311 ,-,423114561 ,42593236 ,49900350 ,3338081 ,89252723 ,3375201 ,37618357 ,-,-,-,22212499 ,-,29720433 ,-,20486959 ,-,18828385 ,-,19443298 ,-,15486356 ,8266 ,9473966 ,-,479200062 ,-,93043571 ,403039288 ,48053520 ,24323001 ,142406000 ,2119473 ,90235980 ,1346018 ,46928631 ,503937 ,16977527 ,22203528 ,52170020 ,-,27032459 ,-,26170736 ,-,51362815 ,-,18216079 ,-,37860366 ,6789611 ,7001498 ,-,639100735 ,501624 ,474842954 ,400867 ,389944534 ,97843 ,81402774 ,-,90738822 ,131331 ,23713525 ,-,2741581 ,35 ,30913395 ,-,224733588 ,-,201168764 ,-,23564824 ,-,90458825 ,-,22914307 
1988/02,2602963105 ,-,15860521 ,-,14816029 ,-,1044492 ,-,18095728 ,-,17327824 ,6149 ,767904 ,-,4792144 ,-,142042237 ,-,50060509 ,2441996 ,7557843 ,136999 ,40495601 ,-,331804367 ,1804112 ,139235655 ,40835 ,21386214 ,-,41532489 ,-,53026274 ,-,27643435 ,74774 ,30273989 ,66042 ,15121134 ,-,555352854 ,55134332 ,61274631 ,4116553 ,113266827 ,4052423 ,44934776 ,-,-,-,43334667 ,-,36934162 ,-,22438720 ,-,25987046 ,-,23622773 ,-,24338140 ,9823 ,11743585 ,-,577331759 ,-,109914835 ,449358740 ,59529686 ,26682752 ,169832029 ,2555993 ,108918683 ,1752453 ,61088764 ,461077 ,16164498 ,24126759 ,60913346 ,-,31204612 ,-,32985791 ,-,59834059 ,-,22823845 ,-,48348259 ,8424305 ,8536866 ,-,694035506 ,525211 ,497203158 ,396751 ,387797216 ,124310 ,104571940 ,-,109735241 ,150644 ,30010941 ,-,2694369 ,41 ,31424511 ,-,263647989 ,-,233167257 ,-,30480732 ,-,106110449 ,-,24787007 
1988/03,2922510217 ,-,15941906 ,-,14544176 ,-,1397730 ,-,21668485 ,-,20528077 ,14351 ,1140408 ,-,6148394 ,-,163102904 ,-,58692360 ,2421537 ,7570980 ,148302 ,45789968 ,-,392368560 ,2096001 ,165049333 ,36034 ,20774870 ,-,52431567 ,-,64874777 ,-,31983967 ,88301 ,35067140 ,79408 ,17627210 ,-,646534715 ,58038402 ,69002533 ,4502645 ,137162375 ,4811638 ,52714262 ,-,-,-,44663395 ,-,44686817 ,-,34908339 ,-,29139807 ,-,33023823 ,-,23819617 ,11651 ,13721878 ,-,673181180 ,-,128052987 ,495807477 ,67770535 ,31402500 ,189546604 ,2714825 ,121264161 ,1725297 ,64530975 ,587566 ,19662357 ,28687675 ,68282443 ,-,31701878 ,-,39326965 ,-,86841133 ,-,27109878 ,-,55041103 ,9987350 ,10389190 ,-,711393117 ,492107 ,480352377 ,362934 ,369686102 ,124652 ,105114586 ,-,119802606 ,142678 ,28467135 ,-,3927191 ,51 ,50052600 ,-,292170956 ,-,259096718 ,-,33074238 ,-,117947203 ,-,30478184 
1988/04,2825634638 ,-,15913581 ,-,14363011 ,-,1550570 ,-,19172755 ,-,18418589 ,6999 ,754166 ,-,7510080 ,-,153800044 ,-,53637796 ,2473040 ,8205564 ,148258 ,44301133 ,-,364535056 ,1936356 ,147893067 ,41878 ,22286757 ,-,45415232 ,-,62750144 ,-,32034692 ,77606 ,32415733 ,78396 ,17220565 ,-,591194194 ,65251573 ,72910342 ,4350768 ,110732720 ,4912326 ,48745870 ,-,-,-,43685289 ,-,39136756 ,-,27553211 ,-,29915064 ,-,29694028 ,-,26272599 ,10505 ,12752541 ,-,637093977 ,-,123958575 ,497991462 ,65832889 ,29295124 ,179272950 ,2424428 ,114387794 ,1450666 ,51834785 ,502313 ,17782589 ,26870696 ,64885156 ,-,32569430 ,-,36462929 ,-,71610554 ,-,25439364 ,-,54465353 ,9462507 ,10000471 ,-,742624654 ,566023 ,557673929 ,433552 ,445211044 ,128559 ,107716273 ,-,94559148 ,102921 ,19015299 ,-,2943727 ,60 ,45054675 ,-,293790297 ,-,254596084 ,-,39194213 ,-,115384489 ,-,27628253 
1988/05,2575860023 ,-,16717012 ,-,14789119 ,-,1927893 ,-,18493237 ,-,17741385 ,6175 ,751852 ,-,6213560 ,-,138256438 ,-,48777999 ,2470452 ,7049928 ,134599 ,40803252 ,-,348752285 ,1936914 ,151996844 ,33157 ,18446495 ,-,39341134 ,-,57671270 ,-,30155652 ,73553 ,30445708 ,69113 ,16433940 ,-,530840872 ,60322783 ,65688196 ,4200074 ,108226915 ,4544269 ,44469280 ,-,-,-,32748049 ,-,36525493 ,-,20783770 ,-,24904926 ,-,24406799 ,-,21955414 ,9894 ,12196664 ,-,582821305 ,-,117045007 ,560414819 ,62512480 ,29759940 ,175966214 ,2531088 ,114153939 ,1632270 ,58541504 ,456756 ,15313612 ,27228852 ,61812275 ,-,30320942 ,-,33770468 ,-,54374063 ,-,21044257 ,-,48523222 ,9783317 ,9064309 ,-,651295823 ,502217 ,493724818 ,385902 ,398082241 ,112534 ,91164229 ,-,86384570 ,103842 ,15545232 ,-,3327765 ,50 ,31219701 ,-,282469491 ,-,236940811 ,-,45528680 ,-,101563795 ,-,27862276 
1988/06,2761695856 ,-,15225795 ,-,13637827 ,-,1587968 ,-,18432575 ,-,17661092 ,7007 ,771483 ,-,4446330 ,-,153448021 ,-,53978393 ,2255893 ,7944255 ,143112 ,43932778 ,-,383171116 ,2073712 ,168393628 ,38266 ,20571180 ,-,47066488 ,-,60302770 ,-,32483408 ,80604 ,33156338 ,70844 ,16388487 ,-,585751396 ,63069646 ,68629131 ,4797442 ,123688539 ,5579318 ,55995148 ,-,-,-,38144096 ,-,40570480 ,-,22995924 ,-,25686642 ,-,23941598 ,-,23259577 ,10014 ,12440036 ,-,674237473 ,-,134742641 ,531551688 ,72114741 ,34023379 ,194249718 ,2747531 ,125926244 ,1815981 ,64271334 ,431322 ,15670569 ,31275848 ,68323474 ,-,32370267 ,-,38216279 ,-,78879613 ,-,24668987 ,-,53097706 ,9299177 ,10261175 ,-,624148544 ,507851 ,485499227 ,385150 ,384845104 ,119121 ,95214466 ,-,81468186 ,89318 ,11317221 ,-,2647455 ,60 ,27849998 ,-,302834606 ,-,258854116 ,-,43980490 ,-,114255563 ,-,25857044 
