《米国》  【月別】  （輸出）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA Monthly Data  (Export),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報道発表品目名,総額,１．食料品,,,,,,２．原料品,,,,,,３．鉱物性燃料,,４．化学製品,,有機化合物,,医薬品,,プラスチック,,５．原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸・繊維製品,,非金属鉱物製品,,ゴム製品,,紙類・紙製品,,６．一般機械,,原動機,,電算機類(含周辺機器),,電算機類の部分品,,半導体等製造装置,,金属加工機械,,ポンプ・遠心分離機,,建設用・鉱山用機械,,荷役機械,,加熱用・冷却用機器,,繊維機械,,ベアリング,,７．電気機器,,半導体等電子部品,,（ＩＣ）,,音響・映像機器,,,,（映像記録・再生機器）,,（テレビ受像機）,,,,音響・映像機器の部分品,,重電機器,,通信機,,電気計測機器,,電気回路等の機器,,電池,,８．輸送用機器,,自動車,,（乗用車）,,（バス・トラック）,,自動車の部分品,,二輪自動車,,航空機類,,船舶,,９．その他,,,,,,科学光学機器,,写真用・映画用材料,
概況品名,,,,食料品及び動物,,飲料及びたばこ,,,,原材料,,動植物性油脂,,鉱物性燃料,,化学製品,,有機化合物,,医薬品,,プラスチック,,原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸及び繊維製品,,非金属鉱物製品,,ゴム製品,,紙類及び同製品,,一般機械,,原動機,,(電算機類(含周辺機器)),,(電算機類の部分品),,半導体等製造装置,,金属加工機械,,ポンプ及び遠心分離機,,建設用・鉱山用機械,,荷役機械,,加熱用・冷却用機器,,繊維機械,,ベアリング及び同部分品,,電気機器,,半導体等電子部品,,（ＩＣ）,,,,映像機器,,（映像記録・再生機器）,,（テレビ受像機）,,音響機器,,音響・映像機器の部分品,,重電機器,,通信機,,電気計測機器,,電気回路等の機器,,電池,,輸送用機器,,自動車,,（乗用車）,,（バス・トラック）,,自動車の部分品,,二輪自動車・原動機付自転車,,航空機類,,船舶,,,,雑製品,,特殊取扱品,,科学光学機器,,写真用・映画用材料,
概況品コード,'0'〜'9','0'+'1',,'0',,'1',,'2'+'4',,'2',,'4',,'3',,'5',,'50101',,'507',,'515',,'6',,'611',,'613',,'615',,'607',,'609',,'603',,'606',,'701',,'70101',,'7010505',,'7010507',,'70131',,'70107',,'70125',,'70119',,'70127',,'70123',,'70109',,'70129',,'703',,'70323',,'7032305',,'70309'+'70311',,'70309',,'7030903',,'7030901',,'70311',,'70313',,'70301',,'70315',,'70327',,'70303',,'70319',,'705',,'70503',,'7050301',,'7050303',,'70505',,'7050701',,'70511',,'7051301',,'8'+'9',,'8',,'9',,'81101',,'81301',
,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額
Years/Months,(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位：MT),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位：KG),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位：NO),(千円),(単位),(千円),(単位：NO),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円)
1988/01,738613800 ,-,2591713 ,-,2273766 ,-,317947 ,-,1296966 ,-,1179880 ,293 ,117086 ,-,927406 ,-,19661239 ,-,8545149 ,577783 ,1258046 ,11379 ,5178525 ,-,53657405 ,231439 ,17525629 ,8605 ,4057600 ,-,10464947 ,-,4553000 ,-,7094481 ,19760 ,7295582 ,6373 ,2572817 ,-,161763120 ,17144873 ,21851919 ,1714905 ,44902406 ,1905433 ,21735599 ,,,-,5951354 ,-,10598615 ,-,6817770 ,-,6070872 ,-,4317019 ,-,2279278 ,3034 ,3126217 ,-,152496091 ,-,24555184 ,59034944 ,16208441 ,6875060 ,57394848 ,869219 ,35112701 ,598098 ,18506332 ,124722 ,3513982 ,6005841 ,22282147 ,-,4156355 ,-,6746583 ,-,19075676 ,-,5416762 ,-,9007960 ,1977125 ,2417436 ,-,260736541 ,201083 ,205832003 ,153033 ,173118084 ,48045 ,32697829 ,-,42248964 ,33010 ,6116629 ,-,2322390 ,-,-,-,85483319 ,-,76113326 ,-,9369993 ,-,37550345 ,-,7134734 
1988/02,876848536 ,-,3535085 ,-,3174655 ,-,360430 ,-,1201548 ,-,1090741 ,273 ,110807 ,-,994148 ,-,25963349 ,-,10027759 ,584549 ,2103922 ,13366 ,6682203 ,-,74328960 ,330280 ,26448285 ,15715 ,7637021 ,-,14191419 ,-,5500258 ,-,8636749 ,23467 ,8959772 ,5371 ,2755010 ,-,201929131 ,18277082 ,23852193 ,2147310 ,57635644 ,2335405 ,25418562 ,,,-,13710791 ,-,12589618 ,-,8024741 ,-,6560663 ,-,3796377 ,-,2577090 ,3549 ,3816534 ,-,186830410 ,-,31033727 ,63783714 ,21848689 ,8157116 ,70400522 ,1169800 ,45046215 ,897552 ,26663773 ,92389 ,3830473 ,6987316 ,25354307 ,-,4009928 ,-,8030092 ,-,22633339 ,-,8062617 ,-,11096708 ,2038361 ,2572607 ,-,284025641 ,216921 ,219041686 ,152552 ,174779222 ,64342 ,44181072 ,-,50695305 ,36587 ,7394540 ,-,2327382 ,-,-,-,98040264 ,-,85912131 ,-,12128133 ,-,41090260 ,-,8068728 
1988/03,925278815 ,-,3858505 ,-,3273572 ,-,584933 ,-,1468381 ,-,1324690 ,364 ,143691 ,-,1522782 ,-,27342923 ,-,10541808 ,491545 ,1370108 ,14574 ,7532208 ,-,83520330 ,396663 ,32488703 ,6567 ,4101188 ,-,16618328 ,-,7108121 ,-,9495444 ,24697 ,9715353 ,7757 ,3458850 ,-,224015297 ,20960197 ,26025727 ,2365455 ,65916403 ,2654106 ,32033734 ,-,-,-,11051381 ,-,13558392 ,-,11261869 ,-,7636057 ,-,3742709 ,-,2619504 ,3898 ,4152664 ,-,202833100 ,-,34641646 ,65618606 ,22846456 ,8571323 ,71895861 ,1062448 ,44841882 ,762136 ,24831627 ,95419 ,3586835 ,7508875 ,27053979 ,-,4506955 ,-,9234071 ,-,29889054 ,-,8178816 ,-,11737977 ,2606156 ,3262684 ,-,278999915 ,193608 ,206883874 ,132623 ,165867858 ,60743 ,40927413 ,-,56354472 ,28209 ,5867712 ,-,3175136 ,-,-,-,101717582 ,-,89931561 ,-,11786021 ,-,42757349 ,-,9579812 
1988/04,924412721 ,-,3315158 ,-,2904328 ,-,410830 ,-,1666539 ,-,1476728 ,430 ,189811 ,-,1953478 ,-,24224796 ,-,8851501 ,512616 ,1784568 ,12834 ,6464147 ,-,73909706 ,297125 ,24620222 ,12531 ,5957225 ,-,14920347 ,-,5942668 ,-,9257460 ,25063 ,9886593 ,6441 ,3122666 ,-,198358894 ,21710725 ,27755690 ,2184384 ,53078251 ,2703400 ,28419027 ,-,-,-,10656749 ,-,13441185 ,-,9428865 ,-,7259290 ,-,2845368 ,-,2280189 ,3509 ,3889295 ,-,192730172 ,-,30851596 ,56806243 ,21624026 ,8221720 ,70835695 ,922947 ,42317805 ,598218 ,17937751 ,65383 ,2583525 ,7298773 ,28517890 ,-,4157201 ,-,8619212 ,-,27044690 ,-,8077922 ,-,11437954 ,2056922 ,3318435 ,-,322804562 ,252499 ,268803166 ,192438 ,228452694 ,60056 ,40335653 ,-,44932086 ,11902 ,1735823 ,-,2501342 ,-,-,-,105449416 ,-,89838170 ,-,15611246 ,-,45383235 ,-,8366743 
1988/05,861720496 ,-,3101996 ,-,2624771 ,-,477225 ,-,1570804 ,-,1422235 ,365 ,148569 ,-,1121818 ,-,20941305 ,-,7421443 ,526168 ,1414944 ,13473 ,6363169 ,-,71810074 ,346245 ,26913464 ,6855 ,3857564 ,-,13262687 ,-,6033402 ,-,8281331 ,26271 ,10359444 ,5880 ,2891888 ,-,184684245 ,20109498 ,26205990 ,2054187 ,48457987 ,2436301 ,26327472 ,-,-,-,10085963 ,-,11861821 ,-,6832232 ,-,6894253 ,-,3378235 ,-,2297118 ,3388 ,3857347 ,-,180368088 ,-,32155451 ,77757016 ,22227667 ,7571022 ,67045807 ,991932 ,42066190 ,686737 ,20836428 ,58972 ,2106263 ,6579090 ,24979617 ,-,3771185 ,-,8919589 ,-,20060879 ,-,7244182 ,-,11190939 ,2106715 ,2768638 ,-,296123050 ,225972 ,242159709 ,175689 ,210955969 ,50263 ,31151742 ,-,41060067 ,12823 ,2156795 ,-,2605954 ,-,-,-,101999116 ,-,78087530 ,-,23911586 ,-,37028426 ,-,7557867 
1988/06,920343462 ,-,3202059 ,-,2771209 ,-,430850 ,-,1098174 ,-,979944 ,285 ,118230 ,-,683877 ,-,23645841 ,-,8413651 ,576401 ,1570140 ,12092 ,6545636 ,-,81930188 ,351770 ,29423928 ,6697 ,3799428 ,-,17007085 ,-,7361076 ,-,9079298 ,30589 ,11682582 ,6512 ,3106334 ,-,217414664 ,21857929 ,27033255 ,2513465 ,59483690 ,2900617 ,32689754 ,-,-,-,15223155 ,-,13832318 ,-,8620981 ,-,7488721 ,-,3251736 ,-,3045976 ,3420 ,3977221 ,-,215113526 ,-,36622279 ,67825142 ,24339128 ,8219575 ,79765771 ,1148234 ,50498893 ,787124 ,25497789 ,60544 ,2058338 ,7071341 ,29266878 ,-,4147497 ,-,9616875 ,-,29977638 ,-,8576487 ,-,12690779 ,2806580 ,3733623 ,-,266254814 ,212187 ,217174717 ,160476 ,185996689 ,51702 ,31152649 ,-,37801378 ,12633 ,2547126 ,-,2277315 ,-,-,-,111000319 ,-,98167204 ,-,12833115 ,-,48364217 ,-,9163558 
