《EU》  【月別】  （輸出）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU Monthly Data  (Export),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報道発表品目名,総額,１．食料品,,,,,,２．原料品,,,,,,３．鉱物性燃料,,４．化学製品,,有機化合物,,医薬品,,プラスチック,,５．原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸・繊維製品,,非金属鉱物製品,,ゴム製品,,紙類・紙製品,,６．一般機械,,原動機,,電算機類(含周辺機器),,電算機類の部分品,,半導体等製造装置,,金属加工機械,,ポンプ・遠心分離機,,建設用・鉱山用機械,,荷役機械,,加熱用・冷却用機器,,繊維機械,,ベアリング,,７．電気機器,,半導体等電子部品,,（ＩＣ）,,音響・映像機器,,,,（映像記録・再生機器）,,（テレビ受像機）,,,,音響・映像機器の部分品,,重電機器,,通信機,,電気計測機器,,電気回路等の機器,,電池,,８．輸送用機器,,自動車,,（乗用車）,,（バス・トラック）,,自動車の部分品,,二輪自動車,,航空機類,,船舶,,９．その他,,,,,,科学光学機器,,写真用・映画用材料,
概況品名,,,,食料品及び動物,,飲料及びたばこ,,,,原材料,,動植物性油脂,,鉱物性燃料,,化学製品,,有機化合物,,医薬品,,プラスチック,,原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸及び繊維製品,,非金属鉱物製品,,ゴム製品,,紙類及び同製品,,一般機械,,原動機,,(電算機類(含周辺機器)),,(電算機類の部分品),,半導体等製造装置,,金属加工機械,,ポンプ及び遠心分離機,,建設用・鉱山用機械,,荷役機械,,加熱用・冷却用機器,,繊維機械,,ベアリング及び同部分品,,電気機器,,半導体等電子部品,,（ＩＣ）,,,,映像機器,,（映像記録・再生機器）,,（テレビ受像機）,,音響機器,,音響・映像機器の部分品,,重電機器,,通信機,,電気計測機器,,電気回路等の機器,,電池,,輸送用機器,,自動車,,（乗用車）,,（バス・トラック）,,自動車の部分品,,二輪自動車・原動機付自転車,,航空機類,,船舶,,,,雑製品,,特殊取扱品,,科学光学機器,,写真用・映画用材料,
概況品コード,'0'〜'9','0'+'1',,'0',,'1',,'2'+'4',,'2',,'4',,'3',,'5',,'50101',,'507',,'515',,'6',,'611',,'613',,'615',,'607',,'609',,'603',,'606',,'701',,'70101',,'7010505',,'7010507',,'70131',,'70107',,'70125',,'70119',,'70127',,'70123',,'70109',,'70129',,'703',,'70323',,'7032305',,'70309'+'70311',,'70309',,'7030903',,'7030901',,'70311',,'70313',,'70301',,'70315',,'70327',,'70303',,'70319',,'705',,'70503',,'7050301',,'7050303',,'70505',,'7050701',,'70511',,'7051301',,'8'+'9',,'8',,'9',,'81101',,'81301',
,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額
Years/Months,(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位：MT),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位：KG),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位：NO),(千円),(単位),(千円),(単位：NO),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円)
1988/01,434518336 ,-,1005876 ,-,930302 ,-,75574 ,-,2565872 ,-,1904170 ,16756 ,661702 ,-,563403 ,-,19128363 ,-,8436873 ,179014 ,2334815 ,5638 ,3548210 ,-,20191219 ,9756 ,1784620 ,2169 ,1833598 ,-,3508063 ,-,5265520 ,-,2527051 ,6813 ,3352706 ,2365 ,1567813 ,-,85379640 ,6359013 ,7974561 ,752554 ,28790220 ,804241 ,9923032 ,-,-,-,4318616 ,-,3878590 ,-,3410908 ,-,2808069 ,-,1511195 ,-,1957407 ,1676 ,2096233 ,-,98428937 ,-,13328541 ,29465920 ,6386416 ,4360224 ,36071201 ,326410 ,19292792 ,186768 ,8229340 ,57762 ,2466696 ,4033814 ,16778409 ,-,7736850 ,-,3305624 ,-,11377480 ,-,4114143 ,-,5492490 ,988058 ,1699556 ,-,148643100 ,140978 ,122412341 ,131495 ,113743346 ,9482 ,8667853 ,-,11034849 ,35070 ,10300225 ,-,234060 ,2 ,1933987 ,-,58611926 ,-,55122560 ,-,3489366 ,-,29093244 ,-,6811671 
1988/02,487757719 ,-,1499507 ,-,1415798 ,-,83709 ,-,2473241 ,-,2439137 ,90 ,34104 ,-,42310 ,-,23330210 ,-,10066308 ,347234 ,2055280 ,7581 ,4439200 ,-,23867959 ,24718 ,2589840 ,1077 ,1050954 ,-,4689845 ,-,6589781 ,-,2626460 ,6976 ,3802726 ,3483 ,2174175 ,-,109277850 ,5105092 ,8029796 ,979402 ,34598979 ,884274 ,10607028 ,-,-,-,7519481 ,-,4566222 ,-,4236008 ,-,4715731 ,-,2935752 ,-,2787530 ,1681 ,2135741 ,-,118119882 ,-,16154036 ,58234753 ,8945595 ,4683348 ,42981289 ,340053 ,22880468 ,165541 ,9053475 ,64325 ,2482525 ,4343295 ,20100821 ,-,9252855 ,-,4436811 ,-,13698406 ,-,4656783 ,-,6604412 ,1268339 ,2231012 ,-,141008246 ,130661 ,110948844 ,118377 ,99725543 ,12274 ,11191256 ,-,11550727 ,55025 ,13709267 ,-,323886 ,1 ,605 ,-,68138514 ,-,64299447 ,-,3839067 ,-,36037945 ,-,6024284 
1988/03,523296047 ,-,1633366 ,-,1534318 ,-,99048 ,-,2677671 ,-,2414505 ,6120 ,263166 ,-,135049 ,-,27057664 ,-,12282141 ,370682 ,2576375 ,7744 ,4630314 ,-,29743823 ,20584 ,2981003 ,2658 ,1889471 ,-,6340413 ,-,7250447 ,-,3832444 ,8516 ,4686816 ,3638 ,2276112 ,-,124526506 ,6445921 ,9045712 ,991994 ,40169926 ,1204848 ,10968322 ,-,-,-,7872622 ,-,4750536 ,-,5438264 ,-,5311675 ,-,3600150 ,-,3339346 ,2211 ,2601060 ,-,136465409 ,-,18514270 ,39337796 ,10184792 ,5561915 ,48729037 ,414686 ,26747564 ,224910 ,11570492 ,64650 ,2602405 ,5147229 ,21981473 ,-,9193755 ,-,5358307 ,-,18941003 ,-,5659099 ,-,7866346 ,1117332 ,2305199 ,-,123478505 ,105443 ,91692951 ,94513 ,82095312 ,10919 ,9555324 ,-,11898880 ,57778 ,14120256 ,-,536285 ,-,-,-,77578054 ,-,73284024 ,-,4294030 ,-,40054235 ,-,8269325 
1988/04,524975968 ,-,1954903 ,-,1873967 ,-,80936 ,-,2306554 ,-,2118020 ,4212 ,188534 ,-,166660 ,-,27317919 ,-,12489557 ,450253 ,2941963 ,9445 ,5385655 ,-,28829412 ,15847 ,2684017 ,2292 ,1635190 ,-,6006389 ,-,7632447 ,-,3250643 ,8071 ,4536228 ,3859 ,2559431 ,-,117710060 ,6480980 ,9014025 ,961203 ,36222543 ,1203450 ,11615348 ,-,-,-,7857192 ,-,4607483 ,-,5049869 ,-,5590433 ,-,5416046 ,-,3166766 ,2238 ,2710231 ,-,135952781 ,-,19053335 ,39172712 ,10202575 ,5585134 ,46701670 ,403378 ,26838036 ,201589 ,9312038 ,57061 ,2223181 ,5181756 ,19863634 ,-,9968116 ,-,5091473 ,-,19435917 ,-,5430513 ,-,7969912 ,1294389 ,2352494 ,-,133328458 ,117315 ,105976370 ,104681 ,94144332 ,12633 ,11831027 ,-,11347851 ,49339 ,11608093 ,-,362428 ,1 ,1479981 ,-,77409221 ,-,72461956 ,-,4947265 ,-,37922047 ,-,8395495 
1988/05,480031754 ,-,1816266 ,-,1732278 ,-,83988 ,-,1857559 ,-,1841232 ,14 ,16327 ,-,659301 ,-,23037177 ,-,9976280 ,354533 ,2380589 ,8239 ,4835511 ,-,25873250 ,14235 ,2416907 ,1154 ,1166427 ,-,5422120 ,-,6788570 ,-,3424228 ,6292 ,3804904 ,3903 ,2384229 ,-,111612251 ,8933469 ,10750070 ,1088037 ,37325014 ,1151038 ,10189109 ,-,-,-,6140638 ,-,4221691 ,-,3163860 ,-,4351980 ,-,3350588 ,-,2658457 ,2084 ,2614661 ,-,125845192 ,-,15990833 ,33217716 ,8249911 ,5177245 ,49215518 ,434716 ,28698745 ,260112 ,12549545 ,39285 ,1912108 ,4742529 ,20516773 ,-,9104771 ,-,4806786 ,-,14399701 ,-,4856094 ,-,7177027 ,1281706 ,2127618 ,-,116511597 ,103397 ,94550333 ,91642 ,83825467 ,11722 ,10667508 ,-,11042468 ,30095 ,6957179 ,-,471130 ,-,-,-,72819161 ,-,67715543 ,-,5103618 ,-,34568318 ,-,8493532 
1988/06,494724589 ,-,1907210 ,-,1753085 ,-,154125 ,-,1584073 ,-,1454997 ,3063 ,129076 ,-,302454 ,-,23855163 ,-,10346170 ,379329 ,2384280 ,8001 ,4676079 ,-,25296909 ,23225 ,2842747 ,1220 ,1291454 ,-,5574996 ,-,5966824 ,-,2959898 ,6846 ,3949160 ,3598 ,2290373 ,-,109973206 ,6081702 ,7838958 ,1040311 ,38088228 ,1535761 ,13797462 ,-,-,-,6985222 ,-,3756122 ,-,2922494 ,-,4291126 ,-,2527686 ,-,2734358 ,1869 ,2345736 ,-,140557506 ,-,18445312 ,39432425 ,10642510 ,5666069 ,48808469 ,447031 ,27533318 ,266491 ,10810959 ,48938 ,2030958 ,5219038 ,21275151 ,-,9184207 ,-,4854299 ,-,21479097 ,-,5066524 ,-,7783777 ,1122910 ,2069703 ,-,119437691 ,114657 ,104594402 ,102023 ,93142281 ,12621 ,11417706 ,-,9195561 ,23420 ,3751568 ,-,262685 ,-,-,-,71810377 ,-,66161271 ,-,5649106 ,-,34132036 ,-,6171786 
