《中国》  【月別】  （輸出）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA Monthly Data  (Export),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報道発表品目名,総額,１．食料品,,,,,,２．原料品,,,,,,３．鉱物性燃料,,４．化学製品,,有機化合物,,医薬品,,プラスチック,,５．原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸・繊維製品,,非金属鉱物製品,,ゴム製品,,紙類・紙製品,,６．一般機械,,原動機,,電算機類(含周辺機器),,電算機類の部分品,,半導体等製造装置,,金属加工機械,,ポンプ・遠心分離機,,建設用・鉱山用機械,,荷役機械,,加熱用・冷却用機器,,繊維機械,,ベアリング,,７．電気機器,,半導体等電子部品,,（ＩＣ）,,音響・映像機器,,,,（映像記録・再生機器）,,（テレビ受像機）,,,,音響・映像機器の部分品,,重電機器,,通信機,,電気計測機器,,電気回路等の機器,,電池,,８．輸送用機器,,自動車,,（乗用車）,,（バス・トラック）,,自動車の部分品,,二輪自動車,,航空機類,,船舶,,９．その他,,,,,,科学光学機器,,写真用・映画用材料,
概況品名,,,,食料品及び動物,,飲料及びたばこ,,,,原材料,,動植物性油脂,,鉱物性燃料,,化学製品,,有機化合物,,医薬品,,プラスチック,,原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸及び繊維製品,,非金属鉱物製品,,ゴム製品,,紙類及び同製品,,一般機械,,原動機,,(電算機類(含周辺機器)),,(電算機類の部分品),,半導体等製造装置,,金属加工機械,,ポンプ及び遠心分離機,,建設用・鉱山用機械,,荷役機械,,加熱用・冷却用機器,,繊維機械,,ベアリング及び同部分品,,電気機器,,半導体等電子部品,,（ＩＣ）,,,,映像機器,,（映像記録・再生機器）,,（テレビ受像機）,,音響機器,,音響・映像機器の部分品,,重電機器,,通信機,,電気計測機器,,電気回路等の機器,,電池,,輸送用機器,,自動車,,（乗用車）,,（バス・トラック）,,自動車の部分品,,二輪自動車・原動機付自転車,,航空機類,,船舶,,,,雑製品,,特殊取扱品,,科学光学機器,,写真用・映画用材料,
概況品コード,'0'〜'9','0'+'1',,'0',,'1',,'2'+'4',,'2',,'4',,'3',,'5',,'50101',,'507',,'515',,'6',,'611',,'613',,'615',,'607',,'609',,'603',,'606',,'701',,'70101',,'7010505',,'7010507',,'70131',,'70107',,'70125',,'70119',,'70127',,'70123',,'70109',,'70129',,'703',,'70323',,'7032305',,'70309'+'70311',,'70309',,'7030903',,'7030901',,'70311',,'70313',,'70301',,'70315',,'70327',,'70303',,'70319',,'705',,'70503',,'7050301',,'7050303',,'70505',,'7050701',,'70511',,'7051301',,'8'+'9',,'8',,'9',,'81101',,'81301',
,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額
Years/Months,(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位：MT),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位：KG),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位：NO),(千円),(単位),(千円),(単位：NO),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円)
1988/01,66302667 ,-,350564 ,-,337843 ,-,12721 ,-,1613429 ,-,1552018 ,374 ,61411 ,-,69689 ,-,8336519 ,-,2498201 ,82928 ,311316 ,20718 ,3227296 ,-,28763563 ,435034 ,23018558 ,587 ,368582 ,-,542316 ,-,2296417 ,-,915640 ,1116 ,393220 ,15961 ,1112479 ,-,9267164 ,300249 ,519162 ,1083 ,160051 ,348 ,11814 ,-,-,-,390791 ,-,1309534 ,-,211668 ,-,827276 ,-,1147134 ,-,1021004 ,44 ,86438 ,-,13269638 ,-,3772204 ,2649954 ,308536 ,128578 ,2152816 ,81667 ,2080703 ,9020 ,471555 ,72458 ,1474731 ,46911 ,72113 ,-,475045 ,-,1348024 ,-,1207385 ,-,692901 ,-,1321158 ,12438 ,17502 ,-,1469217 ,850 ,1149688 ,533 ,549552 ,306 ,539272 ,-,261383 ,146 ,16203 ,-,-,-,-,-,3162884 ,-,2651572 ,-,511312 ,-,814598 ,-,756373 
1988/02,83253376 ,-,138100 ,-,129486 ,-,8614 ,-,1900316 ,-,1840215 ,303 ,60101 ,-,76465 ,-,9185823 ,-,3214967 ,435547 ,399396 ,18607 ,3258306 ,-,30049249 ,402782 ,22332214 ,1091 ,753544 ,-,1619319 ,-,3050848 ,-,1102841 ,797 ,311220 ,8743 ,730969 ,-,15229388 ,4573073 ,2645226 ,4165 ,234762 ,2614 ,52291 ,-,-,-,642793 ,-,1120741 ,-,94667 ,-,1335153 ,-,1670818 ,-,1217724 ,96 ,156907 ,-,17949931 ,-,3978841 ,2983860 ,305342 ,246326 ,2356542 ,58460 ,2090342 ,18600 ,779253 ,39711 ,1244470 ,187866 ,266200 ,-,516336 ,-,1169022 ,-,1558956 ,-,1170072 ,-,3651918 ,84457 ,41359 ,-,4204327 ,649 ,918970 ,449 ,466780 ,200 ,452190 ,-,475663 ,82 ,10241 ,-,-,1 ,211118 ,-,4519777 ,-,3998488 ,-,521289 ,-,1429117 ,-,833527 
1988/03,96482057 ,-,67704 ,-,54126 ,-,13578 ,-,2959260 ,-,2920787 ,229 ,38473 ,-,127498 ,-,10396743 ,-,3439759 ,433883 ,373645 ,18883 ,3763312 ,-,36569789 ,445157 ,26633758 ,1839 ,1067305 ,-,2501412 ,-,3564959 ,-,1459338 ,887 ,391645 ,11228 ,794233 ,-,18318507 ,2198816 ,2511074 ,986 ,1194694 ,7936 ,278704 ,-,-,-,1272736 ,-,1928598 ,-,59810 ,-,893441 ,-,3036921 ,-,1147600 ,123 ,164166 ,-,19733726 ,-,3372581 ,3032371 ,397800 ,258501 ,3989602 ,120628 ,3666322 ,23267 ,968645 ,97026 ,2423730 ,137873 ,323280 ,-,586178 ,-,2277791 ,-,1972629 ,-,1438618 ,-,1990012 ,17260 ,27955 ,-,3635121 ,530 ,791016 ,194 ,251458 ,326 ,499345 ,-,345106 ,1 ,519 ,-,-,1 ,20000 ,-,4673709 ,-,4163826 ,-,509883 ,-,1512492 ,-,859026 
1988/04,100601775 ,-,436233 ,-,411842 ,-,24391 ,-,2639002 ,-,2629819 ,39 ,9183 ,-,123910 ,-,10825995 ,-,3596634 ,359124 ,528391 ,22469 ,4066463 ,-,32589828 ,409794 ,23201685 ,899 ,719588 ,-,1755893 ,-,4465681 ,-,1073191 ,677 ,375843 ,11466 ,805984 ,-,22237668 ,3130879 ,3261179 ,955 ,203804 ,182 ,9681 ,-,-,-,5263604 ,-,1198065 ,-,336063 ,-,1598803 ,-,1802985 ,-,2656047 ,90 ,162496 ,-,19059328 ,-,5531658 ,1316674 ,242939 ,208615 ,4377191 ,124777 ,4110238 ,37675 ,1568019 ,86596 ,2433856 ,83838 ,266953 ,-,373445 ,-,937695 ,-,1359761 ,-,855690 ,-,2146062 ,2009 ,7293 ,-,8450812 ,1150 ,1815764 ,457 ,445765 ,683 ,1319850 ,-,390121 ,986 ,121809 ,-,-,3 ,683957 ,-,4238999 ,-,3822970 ,-,416029 ,-,944789 ,-,633006 
1988/05,80933967 ,-,238935 ,-,235039 ,-,3896 ,-,2358311 ,-,2354088 ,12 ,4223 ,-,104498 ,-,8964370 ,-,3103893 ,596866 ,607234 ,14880 ,3098029 ,-,30227184 ,357948 ,20731731 ,671 ,691742 ,-,2088134 ,-,4063539 ,-,1825939 ,437 ,206221 ,4177 ,402889 ,-,12258218 ,802985 ,876462 ,1713 ,191343 ,926 ,24536 ,-,-,-,918373 ,-,1450243 ,-,295981 ,-,544187 ,-,1081653 ,-,1549354 ,75 ,132189 ,-,16389517 ,-,4775953 ,3190833 ,427703 ,232364 ,4170347 ,127040 ,3912869 ,29040 ,1170744 ,97903 ,2683475 ,105324 ,257478 ,-,639347 ,-,1047599 ,-,750823 ,-,544543 ,-,2100996 ,7171 ,21410 ,-,4446700 ,2547 ,2529907 ,1376 ,1034979 ,1161 ,1447688 ,-,400823 ,3304 ,340267 ,-,-,1 ,448020 ,-,5946234 ,-,5025801 ,-,920433 ,-,1440862 ,-,696362 
1988/06,89884575 ,-,300792 ,-,286882 ,-,13910 ,-,2557502 ,-,2550147 ,44 ,7355 ,-,108844 ,-,11182378 ,-,3606561 ,207503 ,510051 ,19138 ,3978671 ,-,33639198 ,379279 ,23817031 ,1853 ,1145897 ,-,1749048 ,-,3823677 ,-,1840320 ,907 ,376225 ,8000 ,684297 ,-,12945096 ,940257 ,1141905 ,429 ,539557 ,1449 ,16596 ,-,-,-,228761 ,-,1379228 ,-,258281 ,-,1093134 ,-,1403464 ,-,1128993 ,134 ,213580 ,-,21483854 ,-,5981889 ,2148521 ,346464 ,290814 ,5592294 ,144152 ,5170466 ,65102 ,2669083 ,78027 ,2443062 ,146662 ,421828 ,-,905778 ,-,1043753 ,-,2506643 ,-,601233 ,-,1787534 ,38106 ,40938 ,-,3087218 ,1140 ,1964605 ,730 ,974485 ,410 ,990120 ,-,512274 ,2258 ,259236 ,-,-,1 ,67505 ,-,4579693 ,-,3986916 ,-,592777 ,-,1189536 ,-,519208 
