《中東》  【月別】  （輸出）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDDLE EAST Monthly Data  (Export),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報道発表品目名,総額,１．食料品,,,,,,２．原料品,,,,,,３．鉱物性燃料,,４．化学製品,,有機化合物,,医薬品,,プラスチック,,５．原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸・繊維製品,,非金属鉱物製品,,ゴム製品,,紙類・紙製品,,６．一般機械,,原動機,,電算機類(含周辺機器),,電算機類の部分品,,半導体等製造装置,,金属加工機械,,ポンプ・遠心分離機,,建設用・鉱山用機械,,荷役機械,,加熱用・冷却用機器,,繊維機械,,ベアリング,,７．電気機器,,半導体等電子部品,,（ＩＣ）,,音響・映像機器,,,,（映像記録・再生機器）,,（テレビ受像機）,,,,音響・映像機器の部分品,,重電機器,,通信機,,電気計測機器,,電気回路等の機器,,電池,,８．輸送用機器,,自動車,,（乗用車）,,（バス・トラック）,,自動車の部分品,,二輪自動車,,航空機類,,船舶,,９．その他,,,,,,科学光学機器,,写真用・映画用材料,
概況品名,,,,食料品及び動物,,飲料及びたばこ,,,,原材料,,動植物性油脂,,鉱物性燃料,,化学製品,,有機化合物,,医薬品,,プラスチック,,原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸及び繊維製品,,非金属鉱物製品,,ゴム製品,,紙類及び同製品,,一般機械,,原動機,,(電算機類(含周辺機器)),,(電算機類の部分品),,半導体等製造装置,,金属加工機械,,ポンプ及び遠心分離機,,建設用・鉱山用機械,,荷役機械,,加熱用・冷却用機器,,繊維機械,,ベアリング及び同部分品,,電気機器,,半導体等電子部品,,（ＩＣ）,,,,映像機器,,（映像記録・再生機器）,,（テレビ受像機）,,音響機器,,音響・映像機器の部分品,,重電機器,,通信機,,電気計測機器,,電気回路等の機器,,電池,,輸送用機器,,自動車,,（乗用車）,,（バス・トラック）,,自動車の部分品,,二輪自動車・原動機付自転車,,航空機類,,船舶,,,,雑製品,,特殊取扱品,,科学光学機器,,写真用・映画用材料,
概況品コード,'0'〜'9','0'+'1',,'0',,'1',,'2'+'4',,'2',,'4',,'3',,'5',,'50101',,'507',,'515',,'6',,'611',,'613',,'615',,'607',,'609',,'603',,'606',,'701',,'70101',,'7010505',,'7010507',,'70131',,'70107',,'70125',,'70119',,'70127',,'70123',,'70109',,'70129',,'703',,'70323',,'7032305',,'70309'+'70311',,'70309',,'7030903',,'7030901',,'70311',,'70313',,'70301',,'70315',,'70327',,'70303',,'70319',,'705',,'70503',,'7050301',,'7050303',,'70505',,'7050701',,'70511',,'7051301',,'8'+'9',,'8',,'9',,'81101',,'81301',
,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額
Years/Months,(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位：MT),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位：KG),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位：NO),(千円),(単位),(千円),(単位：NO),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円)
1988/01,74413826 ,-,323838 ,-,313484 ,-,10354 ,-,396934 ,-,395830 ,2 ,1104 ,-,75914 ,-,1497938 ,-,501582 ,15662 ,39566 ,937 ,258651 ,-,18847634 ,95174 ,6449553 ,130 ,49377 ,-,1549661 ,-,4893744 ,-,501481 ,14427 ,5019109 ,1356 ,348556 ,-,8651619 ,2447259 ,2750174 ,7308 ,229252 ,4981 ,36514 ,-,-,-,129668 ,-,890346 ,-,172106 ,-,525529 ,-,1725419 ,-,19662 ,349 ,328202 ,-,14004264 ,-,103857 ,148186 ,18217 ,286275 ,5436443 ,107498 ,4397543 ,47870 ,1853653 ,57651 ,2226291 ,178777 ,1038900 ,-,145276 ,-,2204494 ,-,1717919 ,-,241368 ,-,1259393 ,885932 ,317829 ,-,25122615 ,19879 ,22929076 ,11532 ,14198891 ,8318 ,8654935 ,-,1278435 ,16538 ,631990 ,-,59534 ,1 ,54500 ,-,5493070 ,-,5261069 ,-,232001 ,-,1065455 ,-,344840 
1988/02,91598733 ,-,214540 ,-,205682 ,-,8858 ,-,678922 ,-,678014 ,1 ,908 ,-,19934 ,-,2127024 ,-,183155 ,15055 ,189653 ,1351 ,511583 ,-,21825521 ,86689 ,7669196 ,562 ,224373 ,-,1328768 ,-,6558868 ,-,685867 ,12765 ,4984803 ,1529 ,348483 ,-,14159466 ,2818723 ,3177910 ,20167 ,509460 ,4013 ,39509 ,-,-,-,292518 ,-,2053812 ,-,82699 ,-,395296 ,-,3702712 ,-,60348 ,181 ,232006 ,-,16279186 ,-,240892 ,198030 ,91779 ,290693 ,6166232 ,121277 ,4906707 ,60408 ,2256750 ,57645 ,2210310 ,169416 ,1259525 ,-,255818 ,-,718854 ,-,1995088 ,-,972527 ,-,1667975 ,1596058 ,470292 ,-,27615802 ,23174 ,25228109 ,12734 ,14546551 ,10427 ,10618897 ,-,2004587 ,244 ,50123 ,-,904 ,-,-,-,8678338 ,-,8165251 ,-,513087 ,-,2347570 ,-,853318 
1988/03,101826210 ,-,390236 ,-,355724 ,-,34512 ,-,352857 ,-,352857 ,-,-,-,23406 ,-,2336931 ,-,237529 ,26092 ,96716 ,2217 ,1035868 ,-,26773050 ,136297 ,9952480 ,584 ,285019 ,-,1970867 ,-,7621066 ,-,866478 ,14973 ,5453138 ,2106 ,520097 ,-,17637470 ,2260035 ,2829692 ,19774 ,630246 ,3298 ,62387 ,-,-,-,536195 ,-,3389143 ,-,481878 ,-,1045655 ,-,4454223 ,-,138311 ,260 ,337646 ,-,22120539 ,-,196992 ,126174 ,28102 ,480983 ,9114118 ,168187 ,7055596 ,91521 ,3597040 ,68484 ,2662085 ,312796 ,2058522 ,-,227210 ,-,876225 ,-,3181095 ,-,584232 ,-,2025615 ,2695538 ,923161 ,-,24085398 ,19703 ,21277545 ,11590 ,12606635 ,8088 ,8553363 ,-,2457754 ,1108 ,128006 ,-,113313 ,-,-,-,8106323 ,-,7617088 ,-,489235 ,-,2275706 ,-,564209 
1988/04,87441162 ,-,326762 ,-,246463 ,-,80299 ,-,294549 ,-,294549 ,-,-,-,151483 ,-,1106346 ,-,129936 ,16856 ,75681 ,746 ,437859 ,-,22200929 ,119465 ,7439415 ,400 ,203406 ,-,1563716 ,-,7490827 ,-,787810 ,11378 ,4124391 ,2686 ,513392 ,-,13643794 ,2298625 ,2638695 ,27719 ,697624 ,5228 ,73901 ,-,-,-,424368 ,-,2289372 ,-,542958 ,-,513693 ,-,2863314 ,-,271109 ,111 ,180196 ,-,19178545 ,-,169992 ,328790 ,46456 ,409866 ,6447973 ,130337 ,5370421 ,72562 ,2723492 ,52730 ,2081186 ,279529 ,1077552 ,-,412828 ,-,1294217 ,-,1884964 ,-,336282 ,-,3284214 ,2823594 ,932045 ,-,22061615 ,16791 ,19763659 ,9260 ,11313330 ,7531 ,8450329 ,-,2003665 ,418 ,41997 ,-,15980 ,1 ,176260 ,-,8477139 ,-,8078304 ,-,398835 ,-,2145031 ,-,1026551 
1988/05,80894549 ,-,386660 ,-,190923 ,-,195737 ,-,110666 ,-,110666 ,-,-,-,207184 ,-,1425271 ,-,86854 ,52506 ,171519 ,1126 ,568322 ,-,23352822 ,137858 ,11215843 ,510 ,225033 ,-,1189503 ,-,5708066 ,-,596261 ,11015 ,3669863 ,3337 ,708842 ,-,11188282 ,2077856 ,2416438 ,6951 ,241680 ,7226 ,51413 ,-,-,-,315709 ,-,1417900 ,-,238686 ,-,673978 ,-,2784747 ,-,37233 ,150 ,214474 ,-,15042798 ,-,129817 ,136674 ,52257 ,348149 ,6259363 ,121805 ,4979994 ,56474 ,2225233 ,61470 ,2341935 ,226344 ,1279369 ,-,186266 ,-,757661 ,-,1807588 ,-,219631 ,-,1754913 ,2253835 ,683585 ,-,22309132 ,16792 ,19047786 ,10230 ,11504992 ,6561 ,7541583 ,-,1722185 ,16645 ,1242828 ,-,182990 ,1 ,60000 ,-,6871734 ,-,6598163 ,-,273571 ,-,1550449 ,-,845127 
1988/06,81524712 ,-,298389 ,-,180888 ,-,117501 ,-,94565 ,-,93122 ,4 ,1443 ,-,15775 ,-,1466660 ,-,135520 ,50188 ,162028 ,1318 ,489321 ,-,20538647 ,104854 ,7640706 ,433 ,180834 ,-,1544713 ,-,6371217 ,-,976477 ,9248 ,3310873 ,1729 ,476590 ,-,15412797 ,3494609 ,4787190 ,33894 ,697004 ,19085 ,173857 ,-,-,-,240781 ,-,1837539 ,-,593636 ,-,547803 ,-,1902878 ,-,83980 ,170 ,281606 ,-,17100558 ,-,122082 ,109875 ,40840 ,314622 ,6066236 ,106339 ,4725185 ,60254 ,2294611 ,40041 ,1768175 ,208283 ,1341051 ,-,319040 ,-,1334028 ,-,2187958 ,-,504311 ,-,887543 ,2088747 ,723755 ,-,18358532 ,14148 ,15652213 ,9184 ,9847997 ,4964 ,5804216 ,-,2412235 ,1194 ,99390 ,-,40659 ,1 ,70000 ,-,8238789 ,-,7812690 ,-,426099 ,-,1855628 ,-,734944 
