《米国》  【月別】  （輸入）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA Monthly Data  (Import),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報道発表品目名,総額,１．食料品,,,,,,魚介類,,肉類,,穀物類,,野菜,,果実,,２．原料品,,,,,,木材,,非鉄金属鉱,,鉄鉱石,,大豆,,３．鉱物性燃料,,原油及び粗油,,石油製品,,(揮発油),,液化天然ガス,,液化石油ガス,,石炭,,（一般炭）,,４．化学製品,,有機化合物,,医薬品,,５．原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸・繊維製品,,非金属鉱物製品,,木製品等(除家具),,６．一般機械,,原動機,,電算機類(含周辺機器),,電算機類の部分品,,７．電気機器,,半導体等電子部品,,(ＩＣ),,絶縁電線・絶縁ケーブル,,音響映像機器(含部品),,重電機器,,通信機,,（電話機）,,電気計測機器,,８．輸送用機器,,自動車,,自動車の部分品,,航空機類,,９．その他,,,,,,科学光学機器,,衣類・同附属品,,家具,,バッグ類,
概況品名,,,,食料品及び動物,,飲料及びたばこ,,魚介類及び同調製品,,肉類及び同調製品,,穀物類及び同調製品,,野菜,,果実,,,,原材料,,動植物性油脂,,木材,,非鉄金属鉱,,鉄鉱石,,大豆,,鉱物性燃料,,原油及び粗油,,石油製品,,(揮発油),,液化天然ガス,,液化石油ガス,,石炭,,（一般炭）,,化学製品,,有機化合物,,医薬品,,原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸及び繊維製品,,非金属鉱物製品,,木製品及びコルク製品(除家具),,一般機械,,原動機,,(電算機類(含周辺機器)),,(電算機類の部分品),,電気機器,,半導体等電子部品,,(ＩＣ),,絶縁電線及び絶縁ケーブル,,音響・映像機器(含部品),,重電機器,,通信機,,（電話機）,,電気計測機器,,輸送用機器,,自動車,,自動車の部分品,,航空機類,,,,雑製品,,特殊取扱品,,科学光学機器,,衣類及び同附属品,,家具,,バッグ類,
概況品コード,'0'〜'9','0'+'1',,'0',,'1',,'007',,'003',,'009',,'01103',,'01101',,'2'+'4',,'2',,'4',,'20701',,'21505',,'21501',,'20307',,'3',,'30301',,'30303',,'3030301',,'3050103',,'3050101',,'30101',,'3010105',,'5',,'50101',,'507',,'6',,'613',,'615',,'617',,'609',,'611',,'605',,'701',,'70101',,'7010505',,'7010507',,'703',,'70311',,'7031103',,'70304',,'70305',,'70301',,'70307',,'7030703',,'70313',,'705',,'70501',,'70503',,'70505',,'8'+'9',,'8',,'9',,'81101',,'807',,'803',,'805',
,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額
Years/Months,(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位：KL),(千円),(単位),(千円),(単位：KL),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位：KG),(千円)
1988/01,362683126 ,-,66703034 ,-,53461412 ,-,13241622 ,5623 ,3795312 ,23988 ,10689194 ,1776064 ,24651205 ,-,3378654 ,-,4987093 ,-,76193668 ,-,75368594 ,10936 ,825074 ,-,21102183 ,40903 ,3662489 ,-,-,463082 ,14305946 ,-,15569058 ,-,-,-,4801953 ,32554 ,685190 ,84796 ,1763806 ,-,-,1188510 ,8994529 ,21723 ,113853 ,-,47472248 ,-,11641312 ,265826 ,6859173 ,-,33758739 ,2853 ,683538 ,42871 ,13551372 ,-,3170868 ,-,2298435 ,-,3185440 ,-,4368842 ,-,43280849 ,624 ,12585112 ,17673 ,13084809 ,172590 ,5137510 ,-,42971232 ,-,12217738 ,134030429 ,10852135 ,-,-,-,1673838 ,-,1177827 ,109112 ,7294218 ,-,-,190961 ,8588394 ,-,8988534 ,879 ,1820612 ,-,975594 ,125 ,5327533 ,-,27745764 ,-,21369205 ,-,6376559 ,-,5281203 ,-,895387 ,301276 ,826984 ,9148 ,63658 
1988/02,440130798 ,-,79472065 ,-,61618655 ,-,17853410 ,30725 ,11668691 ,22729 ,10104029 ,1654199 ,23897419 ,-,3070249 ,-,6150647 ,-,67052670 ,-,66213265 ,10381 ,839405 ,-,19666485 ,27421 ,3278739 ,-,-,200897 ,6627929 ,-,21278475 ,-,-,-,15454280 ,69468 ,1490094 ,56460 ,1190568 ,-,-,656814 ,4632375 ,-,-,-,50606063 ,-,13807491 ,678053 ,7848961 ,-,33386134 ,2555 ,705805 ,27546 ,12543368 ,-,2907975 ,-,2270903 ,-,4425739 ,-,3364088 ,-,47814833 ,585 ,8836074 ,23601 ,19517830 ,157484 ,5536834 ,-,43567809 ,-,12813870 ,156906269 ,11519582 ,-,-,-,1981512 ,-,1109222 ,47010 ,2577013 ,-,-,240123 ,11524351 ,-,65227275 ,751 ,2007762 ,-,897048 ,868 ,61443578 ,-,31725474 ,-,24252908 ,-,7472566 ,-,5968521 ,-,1163530 ,446932 ,1114049 ,17908 ,107888 
1988/03,487668073 ,-,103383556 ,-,83988303 ,-,19395253 ,51891 ,23314373 ,23159 ,11354423 ,1954658 ,28447838 ,-,3427676 ,-,8806613 ,-,83850830 ,-,82667372 ,13293 ,1183458 ,-,24155595 ,48905 ,3310761 ,-,-,452948 ,15166965 ,-,26859607 ,-,-,-,14415731 ,36268 ,882221 ,112973 ,2395743 ,-,-,1315433 ,9871062 ,60488 ,405100 ,-,54021193 ,-,13761997 ,379490 ,6815527 ,-,34047252 ,3374 ,909202 ,22793 ,9820786 ,-,3631218 ,-,2695800 ,-,5026872 ,-,4570366 ,-,59474970 ,650 ,12843568 ,36027 ,18508000 ,189639 ,6956179 ,-,58473271 ,-,14884582 ,190263357 ,13416672 ,-,-,-,3681594 ,-,1667788 ,107608 ,5210634 ,-,-,378661 ,17034063 ,-,27128755 ,1186 ,2575086 ,-,1060472 ,321 ,22327850 ,-,40428639 ,-,30904653 ,-,9523986 ,-,7963343 ,-,1760995 ,654871 ,1089544 ,23337 ,149133 
1988/04,404892299 ,-,88127571 ,-,78620918 ,-,9506653 ,38398 ,13939998 ,30270 ,13544611 ,2060095 ,30844906 ,-,3588464 ,-,9757499 ,-,78335350 ,-,77615276 ,8736 ,720074 ,-,27078211 ,38020 ,2858234 ,-,-,431685 ,14421940 ,-,15292030 ,-,-,-,6902593 ,36393 ,645063 ,57107 ,1146245 ,-,-,935347 ,7085445 ,-,-,-,45171571 ,-,11951370 ,436625 ,8191680 ,-,30695522 ,2501 ,732553 ,18470 ,8291795 ,-,2968900 ,-,2476680 ,-,4810517 ,-,3228069 ,-,43214138 ,548 ,8595388 ,35569 ,14358342 ,188785 ,5337421 ,-,38574197 ,-,12718107 ,140875347 ,11494414 ,-,-,-,1887783 ,-,1101159 ,44869 ,2126552 ,-,-,201551 ,8339560 ,-,28949227 ,2545 ,4362228 ,-,1158481 ,332 ,22062770 ,-,36532693 ,-,28131753 ,-,8400940 ,-,5887394 ,-,1563678 ,441912 ,1005324 ,33126 ,191751 
1988/05,437826521 ,-,98084767 ,-,81403525 ,-,16681242 ,42337 ,15212256 ,36339 ,17424012 ,1825032 ,28832619 ,-,2507169 ,-,11517590 ,-,88363420 ,-,87201662 ,13639 ,1161758 ,-,31094143 ,77593 ,6056606 ,-,-,397954 ,13505333 ,-,14564789 ,-,-,-,4044806 ,9835 ,324092 ,56500 ,1140838 ,-,-,1296728 ,9372528 ,55897 ,285532 ,-,46044829 ,-,12896402 ,334957 ,6588380 ,-,36726052 ,2411 ,930753 ,24958 ,11519377 ,-,3248679 ,-,2508203 ,-,4880019 ,-,5409594 ,-,51019343 ,746 ,13803172 ,29954 ,14839858 ,183740 ,5916379 ,-,44405669 ,-,13798707 ,152500620 ,12601747 ,-,-,-,2976563 ,-,1056160 ,79425 ,3833138 ,-,-,235417 ,9899528 ,-,17775178 ,1097 ,2677937 ,-,1229860 ,229 ,12441362 ,-,40842474 ,-,31151861 ,-,9690613 ,-,6281529 ,-,2156123 ,470690 ,883515 ,28637 ,172921 
1988/06,466663959 ,-,107474590 ,-,93588456 ,-,13886134 ,68001 ,23830427 ,36192 ,17047323 ,1626786 ,25392825 ,-,3078943 ,-,15796444 ,-,78376145 ,-,77327629 ,13679 ,1048516 ,-,31013851 ,42459 ,3297482 ,-,-,288191 ,10194473 ,-,18404446 ,-,-,-,7227496 ,69480 ,1232280 ,85014 ,1685123 ,-,-,1296147 ,9474675 ,0 ,203 ,-,47068366 ,-,12736815 ,352372 ,7329061 ,-,37409685 ,3102 ,792453 ,27418 ,11074700 ,-,3650319 ,-,2762150 ,-,5739970 ,-,5697543 ,-,55132139 ,548 ,11958911 ,29008 ,19718725 ,219690 ,5605704 ,-,43623169 ,-,14399741 ,145415574 ,12950141 ,-,-,-,2370616 ,-,1220933 ,50689 ,2387295 ,-,-,202826 ,9811030 ,-,42330612 ,1469 ,3516072 ,-,1216841 ,474 ,35868138 ,-,36844807 ,-,28380981 ,-,8463826 ,-,6122976 ,-,1740522 ,468796 ,706051 ,27029 ,204795 
