《EU》  【月別】  （輸入）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU Monthly Data  (Import),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報道発表品目名,総額,１．食料品,,,,,,魚介類,,肉類,,穀物類,,野菜,,果実,,２．原料品,,,,,,木材,,非鉄金属鉱,,鉄鉱石,,大豆,,３．鉱物性燃料,,原油及び粗油,,石油製品,,(揮発油),,液化天然ガス,,液化石油ガス,,石炭,,（一般炭）,,４．化学製品,,有機化合物,,医薬品,,５．原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸・繊維製品,,非金属鉱物製品,,木製品等(除家具),,６．一般機械,,原動機,,電算機類(含周辺機器),,電算機類の部分品,,７．電気機器,,半導体等電子部品,,(ＩＣ),,絶縁電線・絶縁ケーブル,,音響映像機器(含部品),,重電機器,,通信機,,（電話機）,,電気計測機器,,８．輸送用機器,,自動車,,自動車の部分品,,航空機類,,９．その他,,,,,,科学光学機器,,衣類・同附属品,,家具,,バッグ類,
概況品名,,,,食料品及び動物,,飲料及びたばこ,,魚介類及び同調製品,,肉類及び同調製品,,穀物類及び同調製品,,野菜,,果実,,,,原材料,,動植物性油脂,,木材,,非鉄金属鉱,,鉄鉱石,,大豆,,鉱物性燃料,,原油及び粗油,,石油製品,,(揮発油),,液化天然ガス,,液化石油ガス,,石炭,,（一般炭）,,化学製品,,有機化合物,,医薬品,,原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸及び繊維製品,,非金属鉱物製品,,木製品及びコルク製品(除家具),,一般機械,,原動機,,(電算機類(含周辺機器)),,(電算機類の部分品),,電気機器,,半導体等電子部品,,(ＩＣ),,絶縁電線及び絶縁ケーブル,,音響・映像機器(含部品),,重電機器,,通信機,,（電話機）,,電気計測機器,,輸送用機器,,自動車,,自動車の部分品,,航空機類,,,,雑製品,,特殊取扱品,,科学光学機器,,衣類及び同附属品,,家具,,バッグ類,
概況品コード,'0'〜'9','0'+'1',,'0',,'1',,'007',,'003',,'009',,'01103',,'01101',,'2'+'4',,'2',,'4',,'20701',,'21505',,'21501',,'20307',,'3',,'30301',,'30303',,'3030301',,'3050103',,'3050101',,'30101',,'3010105',,'5',,'50101',,'507',,'6',,'613',,'615',,'617',,'609',,'611',,'605',,'701',,'70101',,'7010505',,'7010507',,'703',,'70311',,'7031103',,'70304',,'70305',,'70301',,'70307',,'7030703',,'70313',,'705',,'70501',,'70503',,'70505',,'8'+'9',,'8',,'9',,'81101',,'807',,'803',,'805',
,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額
Years/Months,(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位：KL),(千円),(単位),(千円),(単位：KL),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位：KG),(千円)
1988/01,204997656 ,-,18481532 ,-,13572629 ,-,4908903 ,5086 ,1751468 ,6762 ,4225002 ,19523 ,1175783 ,-,1669185 ,-,532303 ,-,8971876 ,-,8638011 ,1412 ,333865 ,-,99134 ,316 ,163701 ,-,-,-,-,-,497230 ,-,-,-,476905 ,902 ,56938 ,-,-,0 ,3956 ,-,-,-,-,-,47201034 ,-,15330802 ,1246933 ,10730139 ,-,27881753 ,33460 ,1981389 ,10499 ,5062186 ,-,2235445 ,-,7040216 ,-,7660047 ,-,414108 ,-,19422756 ,200 ,1374414 ,1048 ,806320 ,20417 ,437854 ,-,12400269 ,-,1754588 ,22535038 ,1494471 ,-,-,-,363667 ,-,348656 ,7668 ,263949 ,-,-,104649 ,2878043 ,-,30625817 ,9582 ,27333618 ,-,1851172 ,8 ,465161 ,-,39515389 ,-,35560238 ,-,3955151 ,-,3285718 ,-,6988672 ,1443024 ,2113092 ,158779 ,3086527 
1988/02,236358679 ,-,20628702 ,-,15521725 ,-,5106977 ,15263 ,3125324 ,6852 ,4391353 ,45533 ,1664596 ,-,1196954 ,-,678461 ,-,8512731 ,-,8101720 ,1998 ,411011 ,-,185078 ,1234 ,109209 ,-,-,-,-,-,4065782 ,-,-,-,4020641 ,702 ,54747 ,-,-,31 ,14408 ,-,-,-,-,-,49277518 ,-,15627568 ,804781 ,11531439 ,-,32736393 ,10206 ,949968 ,5988 ,8343066 ,-,2293463 ,-,6302340 ,-,10849945 ,-,410796 ,-,20261939 ,127 ,1123513 ,1830 ,1417725 ,30426 ,742055 ,-,16283684 ,-,1865451 ,21581667 ,1517187 ,-,-,-,510912 ,-,462162 ,9100 ,264677 ,-,-,145326 ,3914540 ,-,30114246 ,7990 ,24808167 ,-,1703936 ,20 ,2608311 ,-,54477684 ,-,42514138 ,-,11963546 ,-,3561309 ,-,10441213 ,1215817 ,1841112 ,224979 ,4208404 
1988/03,275143050 ,-,22681937 ,-,16273159 ,-,6408778 ,9156 ,2496309 ,7978 ,5127247 ,52985 ,1962813 ,-,1320533 ,-,932497 ,-,7695854 ,-,7560289 ,489 ,135565 ,-,78308 ,286 ,173522 ,-,-,-,-,-,3071293 ,-,-,-,3041765 ,1311 ,70505 ,-,-,29 ,14127 ,-,-,-,-,-,59581477 ,-,15367642 ,920461 ,13086391 ,-,36853217 ,46659 ,2755301 ,6736 ,7538399 ,-,3230960 ,-,7224607 ,-,11529566 ,-,418890 ,-,25581899 ,139 ,1645536 ,3203 ,1676918 ,37556 ,726279 ,-,18979812 ,-,2568015 ,26699636 ,2154915 ,-,-,-,678025 ,-,518129 ,12866 ,394096 ,-,-,215093 ,5769345 ,-,41209248 ,12040 ,33492828 ,-,2038462 ,27 ,4562316 ,-,59488313 ,-,51653003 ,-,7835310 ,-,4792785 ,-,9501499 ,1907204 ,2594449 ,214859 ,4411028 
1988/04,235683344 ,-,25132841 ,-,18305397 ,-,6827444 ,5940 ,2859845 ,10688 ,6697661 ,54838 ,2170988 ,-,1046301 ,-,496653 ,-,8739086 ,-,8270316 ,2704 ,468770 ,-,86421 ,12405 ,887333 ,-,-,-,-,-,2152477 ,-,-,-,2130222 ,1516 ,82105 ,-,-,14 ,7562 ,-,-,-,-,-,48077066 ,-,15657445 ,1254121 ,13302869 ,-,37635560 ,48365 ,2802997 ,7459 ,8931703 ,-,2973037 ,-,8463511 ,-,10202285 ,-,561621 ,-,22592543 ,316 ,2085346 ,2451 ,1115919 ,27768 ,697931 ,-,12430259 ,-,2073749 ,21839361 ,1773215 ,-,-,-,326747 ,-,376405 ,7935 ,268881 ,-,-,101249 ,2695341 ,-,30417418 ,9128 ,25848911 ,-,2050995 ,10 ,680025 ,-,48506094 ,-,39470702 ,-,9035392 ,-,3244475 ,-,5575446 ,1659935 ,2184255 ,206888 ,3868167 
1988/05,256622247 ,-,22282650 ,-,14924702 ,-,7357948 ,6233 ,2307496 ,8751 ,5307501 ,47947 ,2003891 ,-,530367 ,-,500618 ,-,7973144 ,-,7671536 ,1273 ,301608 ,-,206905 ,177 ,94932 ,-,-,-,-,-,2432712 ,-,-,-,2411566 ,33578 ,573693 ,-,-,21 ,11465 ,-,-,-,-,-,54942011 ,-,15628458 ,875654 ,14236705 ,-,42359112 ,38599 ,2593209 ,8542 ,7712837 ,-,2657106 ,-,11862964 ,-,13025217 ,-,470175 ,-,24297805 ,257 ,1811153 ,2142 ,984426 ,25315 ,479442 ,-,13867057 ,-,2435731 ,28629768 ,2088949 ,-,-,-,528255 ,-,431068 ,11578 ,403580 ,-,-,146542 ,3368617 ,-,37839073 ,11304 ,31225958 ,-,1931959 ,21 ,1817372 ,-,50628683 ,-,40532596 ,-,10096087 ,-,3383698 ,-,3475093 ,1554863 ,2231497 ,179328 ,3612300 
1988/06,269897715 ,-,27169601 ,-,19136277 ,-,8033324 ,5463 ,1331788 ,14311 ,8382595 ,66355 ,2364311 ,-,481567 ,-,477456 ,-,6605311 ,-,6437132 ,551 ,168179 ,-,92796 ,387 ,243274 ,-,-,-,-,-,2587373 ,-,-,-,2566210 ,99164 ,1755989 ,-,-,15 ,7195 ,-,-,-,-,-,52184709 ,-,13881138 ,1156588 ,14461191 ,-,46633279 ,35547 ,2519566 ,7976 ,11277519 ,-,2592913 ,-,13196075 ,-,12790008 ,-,439064 ,-,23189195 ,260 ,1760547 ,2052 ,1355824 ,27440 ,735185 ,-,12539709 ,-,2200923 ,20577484 ,1922201 ,-,-,-,507553 ,-,424023 ,9148 ,215993 ,-,-,70844 ,2241817 ,-,34631959 ,8839 ,25181592 ,-,2079504 ,90 ,6180157 ,-,64356579 ,-,50190983 ,-,14165596 ,-,3491476 ,-,5118552 ,1429718 ,2335418 ,185350 ,3870343 
