《中国》  【月別】  （輸入）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA Monthly Data  (Import),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報道発表品目名,総額,１．食料品,,,,,,魚介類,,肉類,,穀物類,,野菜,,果実,,２．原料品,,,,,,木材,,非鉄金属鉱,,鉄鉱石,,大豆,,３．鉱物性燃料,,原油及び粗油,,石油製品,,(揮発油),,液化天然ガス,,液化石油ガス,,石炭,,（一般炭）,,４．化学製品,,有機化合物,,医薬品,,５．原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸・繊維製品,,非金属鉱物製品,,木製品等(除家具),,６．一般機械,,原動機,,電算機類(含周辺機器),,電算機類の部分品,,７．電気機器,,半導体等電子部品,,(ＩＣ),,絶縁電線・絶縁ケーブル,,音響映像機器(含部品),,重電機器,,通信機,,（電話機）,,電気計測機器,,８．輸送用機器,,自動車,,自動車の部分品,,航空機類,,９．その他,,,,,,科学光学機器,,衣類・同附属品,,家具,,バッグ類,
概況品名,,,,食料品及び動物,,飲料及びたばこ,,魚介類及び同調製品,,肉類及び同調製品,,穀物類及び同調製品,,野菜,,果実,,,,原材料,,動植物性油脂,,木材,,非鉄金属鉱,,鉄鉱石,,大豆,,鉱物性燃料,,原油及び粗油,,石油製品,,(揮発油),,液化天然ガス,,液化石油ガス,,石炭,,（一般炭）,,化学製品,,有機化合物,,医薬品,,原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸及び繊維製品,,非金属鉱物製品,,木製品及びコルク製品(除家具),,一般機械,,原動機,,(電算機類(含周辺機器)),,(電算機類の部分品),,電気機器,,半導体等電子部品,,(ＩＣ),,絶縁電線及び絶縁ケーブル,,音響・映像機器(含部品),,重電機器,,通信機,,（電話機）,,電気計測機器,,輸送用機器,,自動車,,自動車の部分品,,航空機類,,,,雑製品,,特殊取扱品,,科学光学機器,,衣類及び同附属品,,家具,,バッグ類,
概況品コード,'0'〜'9','0'+'1',,'0',,'1',,'007',,'003',,'009',,'01103',,'01101',,'2'+'4',,'2',,'4',,'20701',,'21505',,'21501',,'20307',,'3',,'30301',,'30303',,'3030301',,'3050103',,'3050101',,'30101',,'3010105',,'5',,'50101',,'507',,'6',,'613',,'615',,'617',,'609',,'611',,'605',,'701',,'70101',,'7010505',,'7010507',,'703',,'70311',,'7031103',,'70304',,'70305',,'70301',,'70307',,'7030703',,'70313',,'705',,'70501',,'70503',,'70505',,'8'+'9',,'8',,'9',,'81101',,'807',,'803',,'805',
,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額
Years/Months,(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位：KL),(千円),(単位),(千円),(単位：KL),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位：KG),(千円)
1988/01,97170580 ,-,16617735 ,-,16475740 ,-,141995 ,10764 ,6395244 ,1916 ,521682 ,74038 ,1086054 ,-,3824949 ,-,2165864 ,-,13177055 ,-,13053228 ,890 ,123827 ,-,605543 ,22631 ,533558 ,-,-,27592 ,917173 ,-,23328299 ,1294717 ,17984056 ,-,3831892 ,150511 ,2103547 ,-,-,-,-,290950 ,1511175 ,152288 ,737793 ,-,6714930 ,-,1167875 ,186139 ,488251 ,-,21579708 ,219258 ,5370950 ,14728 ,3786914 ,-,208828 ,-,10807065 ,-,808961 ,-,400583 ,-,334949 ,-,-,-,-,588 ,2430 ,-,602568 ,-,725 ,-,-,-,-,-,241236 ,-,177914 ,6630 ,23276 ,-,-,4000 ,7957 ,-,12528 ,2 ,6166 ,-,635 ,-,-,-,14802808 ,-,14349508 ,-,453300 ,-,45323 ,-,10482226 ,750432 ,633177 ,163036 ,243655 
1988/02,88181115 ,-,14171322 ,-,13951403 ,-,219919 ,8305 ,3991739 ,1425 ,402939 ,85953 ,1267317 ,-,4186442 ,-,1480998 ,-,9932922 ,-,9766993 ,1261 ,165929 ,-,435681 ,6161 ,111533 ,-,-,25868 ,927384 ,-,23516228 ,1388938 ,19636823 ,-,2326860 ,92142 ,1305758 ,-,-,-,-,285797 ,1503215 ,126115 ,640826 ,-,5479927 ,-,861213 ,216134 ,360681 ,-,16806645 ,130168 ,3745943 ,8346 ,2600003 ,-,312622 ,-,8725183 ,-,791573 ,-,406136 ,-,207632 ,252 ,25894 ,-,-,-,-,-,621182 ,-,1822 ,-,-,-,-,-,219420 ,-,177587 ,12570 ,45295 ,-,-,-,-,-,5383 ,-,-,-,479 ,-,-,-,17439874 ,-,17055923 ,-,383951 ,-,40608 ,-,13074606 ,710248 ,686487 ,323572 ,463308 
1988/03,89448401 ,-,13277764 ,-,13070851 ,-,206913 ,6526 ,3625980 ,1227 ,362133 ,143264 ,2053755 ,-,3631003 ,-,1120538 ,-,12340588 ,-,12233399 ,987 ,107189 ,-,909859 ,3781 ,64627 ,-,-,24885 ,923226 ,-,26282230 ,1432742 ,20285006 ,-,4142139 ,154408 ,2201179 ,-,-,-,-,344553 ,1775770 ,203770 ,949921 ,-,5411577 ,-,1138989 ,131374 ,257281 ,-,13595762 ,79375 ,2364568 ,6088 ,1783551 ,-,275056 ,-,8009142 ,-,726863 ,-,238494 ,-,179699 ,0 ,402 ,2 ,410 ,2069 ,4943 ,-,502540 ,-,990 ,-,-,-,-,-,185497 ,-,154305 ,10472 ,34507 ,-,-,3 ,300 ,-,20364 ,1 ,2187 ,-,240 ,-,-,-,17837877 ,-,17528906 ,-,308971 ,-,72134 ,-,14167022 ,706335 ,610100 ,154305 ,284773 
1988/04,106262925 ,-,17714670 ,-,17431667 ,-,283003 ,10270 ,6871731 ,1622 ,434357 ,148069 ,2169100 ,-,4186849 ,-,996329 ,-,12127171 ,-,11944695 ,1355 ,182476 ,-,1098206 ,10077 ,158837 ,-,-,17037 ,649193 ,-,21538065 ,1248535 ,16751898 ,-,3229588 ,75105 ,1066551 ,-,-,-,-,298707 ,1531753 ,138973 ,623918 ,-,6354818 ,-,1090233 ,220503 ,347607 ,-,23317018 ,148116 ,4039042 ,13228 ,3321419 ,-,428705 ,-,13199385 ,-,800981 ,-,695242 ,-,179151 ,19 ,1774 ,3 ,690 ,2142 ,1547 ,-,611954 ,-,1197 ,-,-,-,-,-,230982 ,-,185237 ,13489 ,28807 ,-,-,146 ,1078 ,-,16917 ,1 ,600 ,-,-,-,-,-,24403161 ,-,24014171 ,-,388990 ,-,37011 ,-,16673155 ,973702 ,690484 ,447712 ,683244 
1988/05,100976584 ,-,16978690 ,-,16615230 ,-,363460 ,8995 ,5800335 ,1648 ,445772 ,137438 ,2058898 ,-,3965998 ,-,946823 ,-,14783027 ,-,14709355 ,704 ,73672 ,-,2242699 ,11835 ,393478 ,-,-,21351 ,764917 ,-,21585700 ,1168251 ,15836759 ,-,3416586 ,114016 ,1730050 ,-,-,-,-,447554 ,2255284 ,264768 ,1185690 ,-,6190361 ,-,1194421 ,223233 ,455075 ,-,19967623 ,155918 ,3644451 ,14112 ,3774506 ,-,310668 ,-,10321504 ,-,1027964 ,-,531926 ,-,295884 ,17 ,4685 ,-,-,2048 ,5213 ,-,944122 ,-,3785 ,20000 ,341 ,-,-,-,387742 ,-,242591 ,20794 ,29796 ,-,-,64 ,875 ,-,9391 ,-,-,-,-,-,-,-,20221786 ,-,14966866 ,-,5254920 ,-,50232 ,-,9530590 ,978497 ,696995 ,352599 ,503149 
1988/06,98006238 ,-,17809614 ,-,17410882 ,-,398732 ,9156 ,6453247 ,2687 ,657184 ,104917 ,1625023 ,-,4958191 ,-,855001 ,-,13980287 ,-,13854259 ,1127 ,126028 ,-,1945730 ,10507 ,286222 ,-,-,18608 ,690686 ,-,24764129 ,1476323 ,19669486 ,-,3577765 ,99215 ,1546867 ,-,-,-,-,268121 ,1516878 ,104190 ,531325 ,-,6352506 ,-,1508408 ,217220 ,373593 ,-,20018901 ,135619 ,3985472 ,11481 ,3718038 ,-,283741 ,-,10355129 ,-,741075 ,-,634974 ,-,290826 ,7 ,3582 ,4 ,310 ,1589 ,1131 ,-,939119 ,-,2012 ,-,-,-,-,-,422243 ,-,270469 ,11337 ,15668 ,-,-,672 ,11347 ,-,4404 ,-,-,-,623 ,-,-,-,13846452 ,-,13572826 ,-,273626 ,-,75870 ,-,8785192 ,828163 ,632762 ,255168 ,419231 
