《韓国》  【月別】  （輸入）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R KOREA Monthly Data  (Import),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報道発表品目名,総額,１．食料品,,,,,,魚介類,,肉類,,穀物類,,野菜,,果実,,２．原料品,,,,,,木材,,非鉄金属鉱,,鉄鉱石,,大豆,,３．鉱物性燃料,,原油及び粗油,,石油製品,,(揮発油),,液化天然ガス,,液化石油ガス,,石炭,,（一般炭）,,４．化学製品,,有機化合物,,医薬品,,５．原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸・繊維製品,,非金属鉱物製品,,木製品等(除家具),,６．一般機械,,原動機,,電算機類(含周辺機器),,電算機類の部分品,,７．電気機器,,半導体等電子部品,,(ＩＣ),,絶縁電線・絶縁ケーブル,,音響映像機器(含部品),,重電機器,,通信機,,（電話機）,,電気計測機器,,８．輸送用機器,,自動車,,自動車の部分品,,航空機類,,９．その他,,,,,,科学光学機器,,衣類・同附属品,,家具,,バッグ類,
概況品名,,,,食料品及び動物,,飲料及びたばこ,,魚介類及び同調製品,,肉類及び同調製品,,穀物類及び同調製品,,野菜,,果実,,,,原材料,,動植物性油脂,,木材,,非鉄金属鉱,,鉄鉱石,,大豆,,鉱物性燃料,,原油及び粗油,,石油製品,,(揮発油),,液化天然ガス,,液化石油ガス,,石炭,,（一般炭）,,化学製品,,有機化合物,,医薬品,,原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸及び繊維製品,,非金属鉱物製品,,木製品及びコルク製品(除家具),,一般機械,,原動機,,(電算機類(含周辺機器)),,(電算機類の部分品),,電気機器,,半導体等電子部品,,(ＩＣ),,絶縁電線及び絶縁ケーブル,,音響・映像機器(含部品),,重電機器,,通信機,,（電話機）,,電気計測機器,,輸送用機器,,自動車,,自動車の部分品,,航空機類,,,,雑製品,,特殊取扱品,,科学光学機器,,衣類及び同附属品,,家具,,バッグ類,
概況品コード,'0'〜'9','0'+'1',,'0',,'1',,'007',,'003',,'009',,'01103',,'01101',,'2'+'4',,'2',,'4',,'20701',,'21505',,'21501',,'20307',,'3',,'30301',,'30303',,'3030301',,'3050103',,'3050101',,'30101',,'3010105',,'5',,'50101',,'507',,'6',,'613',,'615',,'617',,'609',,'611',,'605',,'701',,'70101',,'7010505',,'7010507',,'703',,'70311',,'7031103',,'70304',,'70305',,'70301',,'70307',,'7030703',,'70313',,'705',,'70501',,'70503',,'70505',,'8'+'9',,'8',,'9',,'81101',,'807',,'803',,'805',
,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額
Years/Months,(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位：KL),(千円),(単位),(千円),(単位：KL),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位：KG),(千円)
1988/01,102289569 ,-,14697560 ,-,14477670 ,-,219890 ,23754 ,12942932 ,223 ,156827 ,1614 ,145357 ,-,354668 ,-,322728 ,-,2575666 ,-,2547879 ,356 ,27787 ,-,650867 ,30 ,18781 ,6715 ,29627 ,-,-,-,2724614 ,-,-,-,2724614 ,38899 ,499250 ,-,-,-,-,-,-,-,-,-,4784843 ,-,980150 ,67776 ,513734 ,-,30904963 ,330839 ,18729005 ,3583 ,817918 ,-,1574558 ,-,5758996 ,-,2806237 ,-,217367 ,-,2073256 ,429 ,93735 ,12620 ,180072 ,55799 ,534633 ,-,10832566 ,-,2550418 ,26961269 ,1402049 ,-,-,-,4508547 ,-,1760762 ,42116 ,165854 ,-,-,8445 ,43603 ,-,442760 ,58 ,52945 ,-,139872 ,-,-,-,33253341 ,-,31503004 ,-,1750337 ,-,437385 ,-,18754024 ,1095385 ,1079511 ,1220476 ,1723432 
1988/02,108351431 ,-,15613850 ,-,15328420 ,-,285430 ,25483 ,13717857 ,335 ,235119 ,2033 ,167984 ,-,567303 ,-,203524 ,-,2560848 ,-,2553370 ,88 ,7478 ,-,639461 ,25 ,15808 ,3321 ,13864 ,-,-,-,2791800 ,-,-,-,2791800 ,37189 ,510667 ,-,-,-,-,-,-,-,-,-,3891954 ,-,605671 ,18213 ,79057 ,-,33016858 ,338944 ,19935887 ,4176 ,1005184 ,-,1717517 ,-,5630349 ,-,3440782 ,-,243171 ,-,2629975 ,101 ,62302 ,11236 ,85051 ,116480 ,824129 ,-,10011198 ,-,2301381 ,18958182 ,1126418 ,-,-,-,4161670 ,-,1626159 ,46825 ,178015 ,-,-,14646 ,95415 ,-,623957 ,30 ,28829 ,-,234760 ,-,-,-,37210991 ,-,36055584 ,-,1155407 ,-,478096 ,-,21768594 ,1015547 ,1164292 ,1581215 ,2322806 
1988/03,105816654 ,-,23039401 ,-,22841691 ,-,197710 ,34849 ,19991525 ,259 ,184603 ,2759 ,246997 ,-,1554940 ,-,232849 ,-,2401724 ,-,2389543 ,130 ,12181 ,-,661808 ,25 ,15715 ,9143 ,37520 ,-,-,-,3096337 ,-,-,-,3096337 ,37237 ,517707 ,-,-,-,-,-,-,-,-,-,4811740 ,-,1040347 ,34188 ,127319 ,-,21899032 ,136388 ,9277615 ,1395 ,656905 ,-,1587051 ,-,5449591 ,-,3751739 ,-,142936 ,-,2345167 ,42 ,34891 ,15205 ,108010 ,85609 ,706563 ,-,11388254 ,-,2488237 ,27178286 ,1460281 ,-,-,-,4693692 ,-,1678160 ,52348 ,217809 ,-,-,9558 ,49488 ,-,564843 ,1 ,550 ,-,226070 ,-,-,-,36270156 ,-,34951297 ,-,1318859 ,-,516289 ,-,20631327 ,979163 ,1115098 ,1434180 ,2022516 
1988/04,127234705 ,-,20066341 ,-,19769040 ,-,297301 ,27143 ,16429404 ,393 ,259768 ,3779 ,344430 ,-,1993825 ,-,184403 ,-,2465228 ,-,2453680 ,122 ,11548 ,-,678348 ,25 ,15595 ,3200 ,13496 ,-,-,-,3562194 ,-,-,-,3562194 ,74564 ,963327 ,-,-,-,-,-,-,-,-,-,6081968 ,-,1202569 ,36477 ,155868 ,-,36143291 ,310745 ,19897501 ,10577 ,2610550 ,-,2254634 ,-,6165696 ,-,3584227 ,-,389223 ,-,2478436 ,43 ,31253 ,15198 ,114160 ,84361 ,700628 ,-,12447551 ,-,3593773 ,32416090 ,1634560 ,-,-,-,4634438 ,-,1582294 ,79316 ,326523 ,-,-,15301 ,92792 ,-,759796 ,24 ,25847 ,-,257045 ,-,-,-,43229900 ,-,42209683 ,-,1020217 ,-,599345 ,-,25305568 ,1326889 ,1366029 ,2106427 ,3189057 
1988/05,110324691 ,-,19099077 ,-,18683861 ,-,415216 ,26846 ,15568778 ,891 ,543902 ,2990 ,318154 ,-,1318414 ,-,395934 ,-,2857963 ,-,2848334 ,98 ,9629 ,-,536640 ,20 ,12668 ,13746 ,57286 ,-,-,-,2678088 ,-,-,-,2646430 ,35769 ,545225 ,-,-,-,-,-,-,-,-,-,5339006 ,-,1004911 ,56412 ,211918 ,-,30283185 ,249367 ,16093190 ,2190 ,958256 ,-,2035397 ,-,6116351 ,-,3757188 ,-,266273 ,-,3008698 ,80 ,45424 ,17057 ,134850 ,110532 ,680226 ,-,12076963 ,-,2555558 ,24704378 ,1456428 ,-,-,-,4987095 ,-,1659970 ,137219 ,387669 ,-,-,13957 ,54011 ,-,601262 ,4 ,3032 ,-,215904 ,-,-,-,34380449 ,-,32654195 ,-,1726254 ,-,393863 ,-,18348587 ,1405996 ,1457448 ,1405927 ,2095392 
1988/06,118498039 ,-,19741833 ,-,19508327 ,-,233506 ,25763 ,15870454 ,835 ,535914 ,3824 ,347513 ,-,966747 ,-,1232659 ,-,2630496 ,-,2615749 ,160 ,14747 ,-,469341 ,25 ,15904 ,20940 ,87972 ,-,-,-,4201403 ,-,-,-,4184149 ,36946 ,569639 ,-,-,-,-,-,-,-,-,-,6248868 ,-,1293904 ,17832 ,142936 ,-,28227501 ,203766 ,13059019 ,3719 ,1048725 ,-,2045079 ,-,6759088 ,-,3980697 ,-,304711 ,-,3246907 ,41 ,35668 ,22271 ,213355 ,106475 ,649897 ,-,13010466 ,-,3049414 ,28023993 ,1915142 ,-,-,-,5538726 ,-,1614448 ,72775 ,251971 ,-,-,18910 ,85799 ,-,630013 ,7 ,4474 ,-,181644 ,-,-,-,40560552 ,-,34107533 ,-,6453019 ,-,452938 ,-,20240039 ,1329687 ,1567113 ,1459217 ,2193209 
