《中東》  【月別】  （輸入）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDDLE EAST Monthly Data  (Import),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報道発表品目名,総額,１．食料品,,,,,,魚介類,,肉類,,穀物類,,野菜,,果実,,２．原料品,,,,,,木材,,非鉄金属鉱,,鉄鉱石,,大豆,,３．鉱物性燃料,,原油及び粗油,,石油製品,,(揮発油),,液化天然ガス,,液化石油ガス,,石炭,,（一般炭）,,４．化学製品,,有機化合物,,医薬品,,５．原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸・繊維製品,,非金属鉱物製品,,木製品等(除家具),,６．一般機械,,原動機,,電算機類(含周辺機器),,電算機類の部分品,,７．電気機器,,半導体等電子部品,,(ＩＣ),,絶縁電線・絶縁ケーブル,,音響映像機器(含部品),,重電機器,,通信機,,（電話機）,,電気計測機器,,８．輸送用機器,,自動車,,自動車の部分品,,航空機類,,９．その他,,,,,,科学光学機器,,衣類・同附属品,,家具,,バッグ類,
概況品名,,,,食料品及び動物,,飲料及びたばこ,,魚介類及び同調製品,,肉類及び同調製品,,穀物類及び同調製品,,野菜,,果実,,,,原材料,,動植物性油脂,,木材,,非鉄金属鉱,,鉄鉱石,,大豆,,鉱物性燃料,,原油及び粗油,,石油製品,,(揮発油),,液化天然ガス,,液化石油ガス,,石炭,,（一般炭）,,化学製品,,有機化合物,,医薬品,,原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸及び繊維製品,,非金属鉱物製品,,木製品及びコルク製品(除家具),,一般機械,,原動機,,(電算機類(含周辺機器)),,(電算機類の部分品),,電気機器,,半導体等電子部品,,(ＩＣ),,絶縁電線及び絶縁ケーブル,,音響・映像機器(含部品),,重電機器,,通信機,,（電話機）,,電気計測機器,,輸送用機器,,自動車,,自動車の部分品,,航空機類,,,,雑製品,,特殊取扱品,,科学光学機器,,衣類及び同附属品,,家具,,バッグ類,
概況品コード,'0'〜'9','0'+'1',,'0',,'1',,'007',,'003',,'009',,'01103',,'01101',,'2'+'4',,'2',,'4',,'20701',,'21505',,'21501',,'20307',,'3',,'30301',,'30303',,'3030301',,'3050103',,'3050101',,'30101',,'3010105',,'5',,'50101',,'507',,'6',,'613',,'615',,'617',,'609',,'611',,'605',,'701',,'70101',,'7010505',,'7010507',,'703',,'70311',,'7031103',,'70304',,'70305',,'70301',,'70307',,'7030703',,'70313',,'705',,'70501',,'70503',,'70505',,'8'+'9',,'8',,'9',,'81101',,'807',,'803',,'805',
,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額
Years/Months,(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位：KL),(千円),(単位),(千円),(単位：KL),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位：KG),(千円)
1988/01,240514712 ,-,732831 ,-,732831 ,-,-,168 ,276955 ,2 ,11309 ,-,-,-,2896 ,-,382438 ,-,1740338 ,-,1740338 ,-,-,-,-,-,-,-,-,-,-,-,223173434 ,11539190 ,166287245 ,-,34099595 ,1162429 ,14644153 ,250929 ,5470205 ,819044 ,17316389 ,-,-,-,-,-,5551572 ,-,3763729 ,1255 ,5674 ,-,8112340 ,0 ,206 ,12768 ,2844441 ,-,107676 ,-,354676 ,-,4804713 ,-,-,-,61101 ,24 ,13228 ,3 ,744 ,2773 ,26846 ,-,78303 ,-,-,-,-,-,-,-,6027 ,-,3500 ,2 ,207 ,-,-,2011 ,45256 ,-,2647 ,-,-,-,2647 ,-,-,-,1062146 ,-,161822 ,-,900324 ,-,31080 ,-,1233 ,-,-,-,-
1988/02,250230483 ,-,509196 ,-,509196 ,-,-,31 ,68600 ,3 ,21331 ,-,-,-,11884 ,-,321429 ,-,1250312 ,-,1250312 ,-,-,-,-,-,-,-,-,-,-,-,235512236 ,12711282 ,183086631 ,-,29797954 ,1427086 ,17815251 ,140890 ,3153271 ,911146 ,19474380 ,-,-,-,-,-,2575790 ,-,1078775 ,300 ,2143 ,-,8998768 ,10550 ,173437 ,12529 ,2901758 ,-,82178 ,-,440895 ,-,5400500 ,-,-,-,315334 ,-,-,31 ,244766 ,2559 ,46439 ,-,219013 ,-,-,-,-,-,-,-,537 ,-,7489 ,138 ,5575 ,-,-,7298 ,171753 ,-,323 ,-,-,-,323 ,-,-,-,849511 ,-,325134 ,-,524377 ,-,53331 ,-,208 ,8931 ,4533 ,-,-
1988/03,214369845 ,-,802507 ,-,800958 ,-,1549 ,162 ,273048 ,5 ,37210 ,-,-,-,6303 ,-,465861 ,-,1925619 ,-,1925619 ,-,-,-,-,36 ,1081 ,-,-,-,-,-,195770629 ,10493067 ,148540375 ,-,25322638 ,1358695 ,18362946 ,248519 ,5564155 ,761771 ,16343461 ,-,-,-,-,-,5381331 ,-,4292018 ,810 ,10123 ,-,9379161 ,-,-,10400 ,2401467 ,-,115240 ,-,295326 ,-,6566213 ,-,-,-,467983 ,0 ,460 ,31 ,251920 ,3123 ,53001 ,-,156075 ,-,-,-,-,-,-,-,-,-,841 ,-,-,-,-,3153 ,82932 ,-,499 ,-,-,-,242 ,-,-,-,486041 ,-,55292 ,-,430749 ,-,25968 ,-,4458 ,5246 ,2445 ,-,-
1988/04,204309087 ,-,601775 ,-,583037 ,-,18738 ,87 ,148430 ,7 ,50593 ,-,-,-,17528 ,-,317688 ,-,1263326 ,-,1263326 ,-,-,-,-,-,-,-,-,-,-,-,182194743 ,10388434 ,133922708 ,-,21480616 ,1095187 ,13980349 ,105397 ,2304197 ,1165677 ,24487222 ,-,-,-,-,-,7615884 ,-,4916069 ,973 ,5366 ,-,12077591 ,-,-,22680 ,5528131 ,-,100738 ,-,873481 ,-,5572086 ,-,298 ,-,57649 ,-,-,206 ,11425 ,1556 ,28816 ,-,106670 ,-,-,-,-,-,-,-,-,-,904 ,158 ,3877 ,-,-,4470 ,87718 ,-,1123 ,-,-,-,1123 ,-,-,-,390326 ,-,52614 ,-,337712 ,-,6658 ,-,6042 ,740 ,238 ,1875 ,5726 
1988/05,198830055 ,-,464634 ,-,427743 ,-,36891 ,56 ,41819 ,5 ,41110 ,-,-,-,2306 ,-,258122 ,-,1858100 ,-,1858100 ,-,-,-,-,5500 ,186078 ,-,-,-,-,-,181391415 ,10174353 ,126274823 ,-,35632068 ,1571787 ,21549015 ,196915 ,4050523 ,740276 ,15434001 ,-,-,-,-,-,3595835 ,-,1883478 ,521 ,7745 ,-,10401526 ,-,-,14877 ,3898709 ,-,138218 ,-,298299 ,-,6065986 ,-,-,-,520369 ,-,-,51 ,395512 ,963 ,45407 ,-,358716 ,-,-,-,-,-,-,-,-,-,2565 ,14 ,1298 ,-,-,3629 ,81889 ,-,222 ,-,-,-,222 ,-,-,-,239238 ,-,59384 ,-,179854 ,-,6716 ,-,1755 ,360 ,218 ,-,-
1988/06,214073859 ,-,920728 ,-,869047 ,-,51681 ,85 ,94117 ,6 ,43449 ,1 ,247 ,-,11671 ,-,641767 ,-,1495081 ,-,1495081 ,-,-,-,-,-,-,-,-,-,-,-,189282685 ,9999709 ,126382171 ,-,39692893 ,1629700 ,24500971 ,194092 ,4016199 ,948482 ,19191422 ,-,-,-,-,-,9066633 ,-,7286454 ,1202 ,9303 ,-,12593245 ,-,-,14111 ,3753312 ,-,213562 ,-,102377 ,-,8523994 ,-,-,-,272757 ,-,-,13 ,86733 ,2434 ,45850 ,-,118849 ,-,2923 ,-,-,-,-,-,553 ,-,6029 ,14 ,1299 ,-,-,2309 ,65409 ,-,-,-,-,-,-,-,-,-,323881 ,-,125409 ,-,198472 ,-,10205 ,-,1589 ,2565 ,1236 ,-,-
