名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
1994/ 1- 3.,"510,124.3 ","266,588.0 ","262,024.6 ","227,581.2 ","28,673.8 ","80,433.4 ","3,837.6 ","73,546.9 ","46,407.7 ",-417.7 ,"11,054.6 ","44,988.0 ","33,933.4 ",,"4,449.8 ","15,709.9 ","11,260.1 ","514,574.1 ",,"499,069.7 ","379,532.7 ","119,536.9 ",,"155,514.9 ",,"506,704.4 ",,,,,,
4- 6.,"509,020.7 ","269,176.1 ","264,539.7 ","229,724.4 ","29,969.8 ","79,979.9 ","-3,062.3 ","75,112.5 ","47,379.8 ",489.0 ,"9,975.9 ","45,500.0 ","35,524.2 ",,"4,147.4 ","15,649.7 ","11,502.3 ","513,168.1 ",,"499,044.9 ","376,063.5 ","122,981.3 ",,"157,329.5 ",,"511,594.1 ",,,,,,
7- 9.,"512,968.3 ","270,665.3 ","265,999.0 ","230,776.4 ","32,363.1 ","79,430.6 ",-156.6 ,"75,898.3 ","45,544.1 ",656.8 ,"8,566.6 ","45,053.8 ","36,487.2 ",,"4,190.0 ","16,017.5 ","11,827.5 ","517,158.3 ",,"504,401.6 ","382,302.4 ","122,099.3 ",,"157,337.8 ",,"512,468.1 ",,,,,,
10-12.,"511,602.1 ","271,238.6 ","266,519.4 ","230,815.4 ","30,940.0 ","80,298.5 ","-1,570.5 ","76,696.6 ","44,707.9 ",706.3 ,"8,584.6 ","45,109.8 ","36,525.2 ",,"4,207.5 ","16,563.0 ","12,355.4 ","515,809.7 ",,"503,017.5 ","380,906.7 ","122,110.7 ",,"155,946.4 ",,"512,466.3 ",,,,,,
1995/ 1- 3.,"514,909.9 ","272,734.3 ","267,946.3 ","231,874.5 ","29,884.3 ","82,049.8 ","2,060.8 ","77,678.5 ","42,842.0 ",-147.4 ,"7,807.7 ","45,054.1 ","37,246.3 ",,"4,263.0 ","16,862.0 ","12,599.0 ","519,172.9 ",,"507,102.2 ","386,729.1 ","120,373.0 ",,"154,776.0 ",,"512,996.5 ",,,,,,
4- 6.,"518,768.2 ","274,203.2 ","269,339.9 ","232,928.2 ","28,982.9 ","84,418.3 ",935.9 ,"78,137.1 ","44,468.2 ",220.5 ,"7,402.2 ","44,073.6 ","36,671.3 ",,"3,448.2 ","15,897.1 ","12,448.9 ","522,216.4 ",,"511,366.0 ","388,540.3 ","122,825.7 ",,"157,869.4 ",,"517,611.9 ",,,,,,
