実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
1994/ 1- 3.,"446,231.9 ","247,446.0 ","243,563.3 ","208,518.1 ","29,812.0 ","66,259.2 ","4,239.2 ","71,357.4 ","47,101.5 ",-542.3 ,"-7,720.4 ","37,755.8 ","45,476.2 ","-11,720.8 ",,"19,378.8 ","465,610.6 ","4,121.8 ","14,526.8 ","10,404.9 ","469,732.5 ",,"462,267.9 ","346,397.4 ","115,945.4 ",,"139,769.5 ",,"442,167.9 ",,,
4- 6.,"443,811.6 ","248,847.8 ","244,908.8 ","209,659.3 ","31,118.5 ","66,065.0 ","-2,897.9 ","72,243.8 ","48,011.9 ",622.8 ,"-8,364.5 ","37,963.7 ","46,328.2 ","-11,835.9 ",,"18,742.7 ","462,554.3 ","3,799.8 ","14,473.7 ","10,673.9 ","466,354.0 ",,"460,081.8 ","341,680.3 ","118,659.9 ",,"141,499.8 ",,"445,619.2 ",,,
7- 9.,"448,902.7 ","250,600.8 ","246,639.6 ","211,174.9 ","33,628.1 ","65,999.2 ",-305.1 ,"72,789.1 ","46,297.2 ",806.2 ,"-9,067.6 ","38,658.1 ","47,725.8 ","-11,845.2 ",,"18,143.1 ","467,045.8 ","3,871.4 ","14,798.6 ","10,927.2 ","470,917.1 ",,"465,685.9 ","348,082.9 ","117,731.3 ",,"142,083.2 ",,"448,121.0 ",,,
10-12.,"447,184.6 ","250,765.9 ","246,759.9 ","211,117.9 ","32,218.2 ","67,028.9 ","-1,560.8 ","72,950.1 ","45,574.1 ",853.3 ,"-9,379.2 ","38,820.4 ","48,199.6 ","-11,265.9 ",,"18,530.1 ","465,714.7 ","3,902.5 ","15,316.0 ","11,413.5 ","469,617.2 ",,"464,027.8 ","346,906.3 ","117,246.6 ",,"141,338.8 ",,"447,555.1 ",,,
1995/ 1- 3.,"452,028.7 ","252,850.3 ","248,777.3 ","212,934.0 ","31,121.5 ","68,647.7 ","2,245.6 ","74,470.6 ","43,635.5 ",-27.7 ,"-10,500.4 ","39,311.5 ","49,811.9 ","-10,414.4 ",,"18,955.5 ","470,984.1 ","3,954.7 ","15,603.9 ","11,649.2 ","474,938.8 ",,"469,744.0 ","353,522.6 ","116,209.4 ",,"140,427.9 ",,"449,457.6 ",,,
4- 6.,"456,342.2 ","254,971.3 ","250,815.8 ","214,780.1 ","30,381.5 ","71,088.0 ","1,102.5 ","74,611.4 ","45,415.7 ",199.2 ,"-11,408.9 ","39,897.5 ","51,306.4 ","-10,018.4 ",,"19,770.0 ","476,112.2 ","3,171.8 ","14,793.9 ","11,622.1 ","479,284.0 ",,"474,710.3 ","356,514.9 ","118,227.3 ",,"144,021.4 ",,"454,676.6 ",,,
