実質年度,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Fiscal Year",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
Fiscal Year,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
1994/4-3.,"447,936.9 ","250,795.7 ","246,780.8 ","211,228.8 ","32,051.2 ","66,987.4 ",-661.0 ,"73,111.7 ","45,721.0 ",587.6 ,"-9,336.0 ","38,685.5 ","48,021.4 ","-11,320.6 ",,"18,589.8 ","466,526.7 ","3,880.6 ","15,059.5 ","11,178.9 ","470,407.3 ",,"464,839.8 ","347,619.6 ","117,334.4 ",,"141,280.9 ",,"447,662.1 ",,,
1995/4-3.,"462,177.3 ","256,869.2 ","252,608.9 ","216,288.8 ","30,565.4 ","72,628.5 ","1,384.2 ","75,596.4 ","49,000.3 ",308.8 ,"-14,752.4 ","40,286.6 ","55,039.0 ","-9,423.1 ",,"20,626.1 ","482,803.4 ","4,599.8 ","15,924.1 ","11,324.2 ","487,403.2 ",,"483,056.9 ","360,502.3 ","122,699.7 ",,"149,040.9 ",,"460,142.9 ",,,
1996/4-3.,"475,806.1 ","263,038.0 ","258,725.9 ","221,572.7 ","34,246.3 ","76,894.4 ","1,541.6 ","77,203.4 ","48,217.6 ",204.3 ,"-17,130.2 ","42,903.6 ","60,033.8 ","-8,409.3 ",,"18,777.7 ","494,583.7 ","6,319.2 ","11,903.5 ","5,584.3 ","500,902.9 ",,"498,095.5 ","374,610.7 ","123,486.1 ",,"156,163.6 ",,"473,686.2 ",,,
1997/4-3.,"475,217.3 ","260,139.6 ","255,862.3 ","217,992.0 ","28,751.3 ","78,748.1 ","3,459.4 ","78,168.9 ","45,051.1 ",234.3 ,"-12,089.9 ","46,745.3 ","58,835.2 ","-7,245.6 ",,"18,827.4 ","494,044.8 ","6,589.5 ","12,389.3 ","5,799.8 ","500,634.3 ",,"492,299.7 ","370,749.9 ","121,541.9 ",,"150,452.4 ",,"471,277.5 ",,,
1998/4-3.,"470,507.4 ","260,945.6 ","255,910.6 ","217,357.4 ","25,853.4 ","75,980.6 ",-64.0 ,"79,694.6 ","46,026.6 ",-164.7 ,"-9,986.5 ","44,991.6 ","54,978.2 ","-7,778.1 ",,"19,639.5 ","490,146.9 ","5,732.2 ","10,866.3 ","5,134.1 ","495,879.1 ",,"486,250.7 ","362,748.2 ","123,658.1 ",,"145,784.0 ",,"470,037.7 ",,,
1999/4-3.,"473,320.1 ","264,491.6 ","259,053.0 ","219,581.6 ","26,580.1 ","74,765.9 ","-3,134.0 ","82,666.8 ","45,735.4 ",-66.4 ,"-10,863.2 ","47,750.7 ","58,613.9 ","-6,856.0 ",,"19,356.5 ","492,676.7 ","6,416.5 ","10,212.7 ","3,796.1 ","499,093.2 ",,"488,977.5 ","362,748.1 ","126,488.8 ",,"144,854.7 ",,"475,575.1 ",,,
