【季節調整済指数】 Seasonally Adjusted Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020業種コード,K1D000000I,DA00000I,DB00000I,DBC0000I,DBE0000I,DBED200I,DC00000I,DCA0000I,DCAA000I,DCAA100I,DCAB000I,DCAD000I,DCAD200I,DCAE000I,DCAE100I,DCAE200I,DCAF000I,DCAG000I,DCAG300I,DCB0000I,DCX1000I,DD00000I,DDB0000I,DDC0000I,DDD0000I,DDE0000I,DDF0000I,DE00000I,DEA0000I,DEAA000I,DEAA120I,DEAB000I,DEAC000I,DEB0000I,DF00000I,DFC0000I,DFCA000I,DFF0000I,DG00000I,DGA0000I,DGB0000I,DGC0000I,DGD0000I,DGE0000I,DGF0000I,DGG0000I,DGH0000I,DH00000I,DHA0000I,DHAA000I,DHAA200I,DHAA300I,DHB0000I,DHC0000I,DI00000I,DIA0000I,DJ00000I,DJA0000I,DJB0000I,DJD0000I,DJDA000I,DJE0000I,DJEB000I,DJEB200I,DJEC000I,J000000I,JF00000I,JG00000I,JH00000I,JI00000I,JJ00000I,JK00000I,JM00000I,JN00000I,JP00000I,JQ00000I,JR00000I,SBA0000I,SBA1000I,SBA2000I,SBB0000I,SBB1000I,SBB2000I,SBC0000I,SBCB100I,SBCB200I,SBE2000I,SBRA000I,SKEL000I,SLAA000I
2015業種コード,K1D000000I,DA00000I,DB00000I,DBC0000I,DBE0000I,DBED200I,DC00000I,DCA0000I,DCAA000I,DCAA100I,DCAB000I,DCAD000I,DCAD200I,DCAE000I,DCAE100I,DCAE200I,DCAF000I,DCAG000I,DCAG300I,DCB0000I,DCX1000I,DD00000I,DDB0000I,DDC0000I,DDD0000I,DDE0000I,DDF0000I,DE00000I,DEA0000I,DEAA000I,DEAA120I,DEAB000I,DEAC000I,DEB0000I,DG00000I,DGB0000I,DGBA000I,DGDC000I,DH00000I,DHA0000I,DHB0000I,DHC0000I,DHD0000I,DHE0000I,DHF0000I,DHG0000I,DHH0000I,DI00000I,DIA0000I,DIAA000I,DIAA200I,DIAA300I,DIB0000I,DIC0000I,DJ00000I,DJA0000I,DK00000I,DKA0000I,DKB0000I,DKD0000I,DKDA000I,DKE0000I,DKEB000I,DKEB200I,DKEC000I,J000000I,JF00000I,JG00000I,JH00000I,JI00000I,JJ00000I,JK00000I,JM00000I,JN00000I,JP00000I,JQ00000I,JR00000I,SBA0000I,SBA1000I,SBA2000I,SBB0000I,SBB1000I,SBB2000I,SBC0000I,SBCB100I,SBCB200I,SBE2000I,SBRA000I,SKEL000I,DG00000I
2020業種名,第３次産業総合,電気・ガス・熱供給・水道業,情報通信業,情報サービス業,映像・音声・文字情報制作業,出版業,運輸業、郵便業,運輸業,鉄道業,鉄道旅客運送業,道路旅客運送業,水運業,水運貨物運送業,航空運輸業,航空旅客運送業,航空貨物運送業,倉庫業,運輸に附帯するサービス業,運輸施設提供業,郵便業（信書便事業を含む）,旅客運送業,卸売業,繊維・衣服等卸売業,飲食料品卸売業,建築材料、鉱物・金属材料等卸売業,機械器具卸売業,その他卸売業,金融業、保険業,金融業,銀行業・協同組織金融業,金融決済業務,貸金業、クレジットカード業,金融商品取引業、商品先物取引業,保険業,事業者向け関連サービス（リース業を含む）,専門サービス業,法律事務所、特許事務所,複合サービス事業,小売業,各種商品小売業,織物・衣服・身の回り品小売業,飲食料品小売業,自動車小売業,機械器具小売業,燃料小売業,その他の小売業,無店舗小売業（通信販売小売業）,不動産業,不動産取引業,建物売買業、土地売買業,新築戸建住宅売買業,マンション分譲業,不動産代理業・仲介業,不動産賃貸業,医療、福祉,医療業,生活娯楽関連サービス,宿泊業,飲食店、飲食サービス業,その他の生活関連サービス業,旅行業,娯楽業,劇場・興行団,プロスポーツ興行,競輪・競馬等の競走場、競技団,第３次産業総合（直接調整法）,電気・ガス・熱供給・水道業,情報通信業,運輸業、郵便業,卸売業、小売業,金融業、保険業,不動産業、物品賃貸業,宿泊業、飲食サービス業,生活関連サービス業、娯楽業,医療、福祉,複合サービス事業,その他サービス業（公務等を除く）,サービス業,対個人サービス業,対事業所サービス業,広義対個人サービス,広義非選択的個人向けサービス,広義し好的個人向けサービス,広義対事業所サービス,製造業依存型事業所向けサービス,非製造業依存型事業所向けサービス,投資向けサービス,観光関連産業,第３次産業総合（除く卸売業、小売業）,事業者向け関連サービス（除くリース業）
,Tertiary Industry,"Electricity, Gas, Heat Supply and Water",Information and Communications,Information Services,"Video Picture, Sound Information, Character Information Production & Distribution","Publishers, except Newspapers",Transport and Postal Activities,Transport,Railway Transport,Railway Passenger Transport,Road Passenger Transport,Water Transport,Water Freight Transport,Air Transport,Air Passenger Transport,Air Freight Transport,Warehousing,Services Incidental to Transport,Transport Facilities Services,"Postal Activities, including Mail Delivery",Passenger Transport,Wholesale Trade,Wholesale Trade (Textile and Apparel),Wholesale Trade (Food and Beverages),"Wholesale Trade (Building Materials, Minerals and Metals, etc.)",Wholesale Trade (Machinery and Equipment),Other Wholesale Trade,Finance and Insurance,Financial Services,Banking and Financial Institutions for Cooperative Organizations,Settlement Services,Money Lending Business and Credit Card Business,Financial Products Transaction and Futures Commodity Transaction Dealers,"Insurance Institutions, Including Insurance Agents, Brokers and Services",Business-related Services (including Goods Leasing),Professional Services,Lawyers' and Patent Attorneys' Offices,Compound Services,Retail Trade,"Retail Trade, General Merchandise","Retail Trade (Dry Goods, Apparel and Apparel Accessories)",Retail Trade (Food and Beverages),Retail Trade (Motor Vehicles),Retail Trade (Household Appliance),Retail Trade (Fuel Stores),Other Retail Trade,Nonstore Retailers,Real Estate,Real Estate Agencies,Sales Agents of Buildings and Houses and Land Subdividers and Developers,Sales Agents of Houses,Sales Agents of Condominiums,Real Estate Brokers,Real Estate Lessors,"Medical, Health Care and Welfare",Medical and Other Health Services,Living and Amusement-related Services,Accommodations,"Eating and Drinking Places, Take Out and Delivery Services",Other Living-related and Personal Services,Travel Agency,Services for Amusement and Hobbies,"Performances, Theatrical Companies",Professional Sports Performances (Professional Sports Companies),"Bicycle, Horse, Motorcar and Motorboat Race Track Operations and Companies",Tertiary Industry,"Electricity, Gas, Heat Supply and Water",Information and Communications,Transport and Postal Activities,Wholesale and Retail Trade,Finance and Insurance,Real Estate and Goods Rental and Leasing,"Accommodations, Eating and Drinking Services",Living-related and Personal Services and Amusement Services,"Medical, Health Care and Welfare",Compound Services,Other Services (except Government Services etc.),Services,Personal Services,Business Services,Broad-ranging Personal Services,Broad-ranging Essential Personal Services,Broad-ranging Non-essential Personal Services,Broad-ranging Business Services,Manufacturing-dependent Business Services,Non-manufacturing-dependent Business Services,Private Capital Investment Services,Tourism Industry,Tertiary Industry (except Wholesale and Retail Trade),Business-related Services (except Goods Leasing)
年月｜係数,1.011742,1.02275,0.953578,0.977318,1.121444,1.294725,1.049419,1.049371,1.088093,1.089061,1.208867,1.086032,1.069838,1.255854,1.269264,1.070873,0.945545,1.035019,1.034749,1.061386,1.139265,1.049853,1.548544,0.973231,1.041456,1.03016,1.034113,1.003,0.924299,0.905213,0.922701,0.7475,1.096623,1.145695,0.957547,0.953876,0.970913,1.01619,1.006979,1.22367,1.111111,0.995931,0.985222,0.913682,1.022439,0.962891,1.033333,0.99211,0.98646,1.055449,0.797732,1.268317,0.968719,0.990099,0.941232,0.927221,1.181725,1.172764,1.154,1.362157,1.545455,1.300752,1.513308,1.395795,0.777778,1.010742,1.02275,0.953578,1.049419,1.031621,1.003,0.981445,1.153,1.256276,0.941232,1.01619,0.956888,1.045365,1.243617,0.962264,1.02668,0.990148,1.06746,0.995169,1.030948,0.980695,0.999031,1.167976,1.005848,0.959434
198801,－,68.7,－,32.3,－,－,－,84.8,－,90.1,158.8,－,107.9,－,63,48.7,77.3,－,－,85,107.3,143.1,－,－,－,80.9,－,－,－,－,－,－,28.5,－,－,－,－,－,87.1,152.8,169.3,94.8,80.2,9,－,78.2,－,74.3,128,－,－,－,－,67,－,－,－,114.8,－,－,146,113.6,－,－,126.7,72.3,－,－,－,117,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
198802,－,72.4,－,33.6,－,－,－,86.2,－,90.6,160.7,－,116.4,－,65.1,50,78.5,－,－,85.7,108.8,145.1,－,－,－,82.4,－,－,－,－,－,－,29.9,－,－,－,－,－,89.6,155,170.8,95.4,85.2,9,－,81.7,－,75.4,138.5,－,－,－,－,67.5,－,－,－,112.7,－,－,154.7,113.6,－,－,124.6,73.8,－,－,－,119,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
198803,－,71.1,－,33.2,－,－,－,84.9,－,88.4,157.3,－,110.4,－,64.7,47.5,78.1,－,－,84,106.5,143.9,－,－,－,82.2,－,－,－,－,－,－,35,－,－,－,－,－,87.4,150.1,163.8,95,85.8,9.1,－,78.4,－,78,165,－,－,－,－,66.7,－,－,－,111.9,－,－,154.2,108.9,－,－,117.4,72.7,－,－,－,117.1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
198804,－,70.4,－,36.2,－,－,－,87,－,91.3,161.3,－,111.2,－,64.7,48.6,80.4,－,－,86.4,108.2,148.1,－,－,－,84.7,－,－,－,－,－,－,32.1,－,－,－,－,－,88.6,157.9,171.9,96.5,78.9,9,－,79.4,－,74.9,132.6,－,－,－,－,67.5,－,－,－,114.5,－,－,160.1,111.5,－,－,123.9,73.7,－,－,－,119.6,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
198805,－,70,－,35.7,－,－,－,86.4,－,91,161.1,－,114.2,－,65.5,49.8,80.7,－,－,87.5,108.7,146.3,－,－,－,85.3,－,－,－,－,－,－,37.1,－,－,－,－,－,89,159.4,169.8,96.8,80.5,9.2,－,78.6,－,75,132.5,－,－,－,－,67.3,－,－,－,115,－,－,158.4,117.8,－,－,131.1,74.4,－,－,－,119.5,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
198806,－,70.6,－,36.6,－,－,－,87.3,－,91.5,156.7,－,115.3,－,65.1,51.1,82,－,－,88.4,107.3,147.2,－,－,－,84,－,－,－,－,－,－,43,－,－,－,－,－,89.3,159.7,171.7,96.7,82.9,9.4,－,79.5,－,74.9,138.5,－,－,－,－,66.5,－,－,－,117.4,－,－,156.9,119.5,－,－,125.1,74.8,－,－,－,119.6,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
