,新設住宅着工：利用関係別戸数，床面積　,,,,,,,,,,,,,,,,,,,,,,新設住宅着工：利用関係別戸数，床面積　,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,（単位：戸，千㎡，％）,,,,【参考：修正前データ】,,,,,,,,,,,,,,,,（単位：戸，千㎡，％）,,,,
,総計,,,,,,,,,,,,,,,,,,,季節調整値,,,総計,,,,,,,,,,,,,,,,,,,季節調整値
,,,,,持家,,,,貸家,,給与住宅,,分譲住宅,,,,,,,年率,,,,,,,持家,,,,貸家,,給与住宅,,分譲住宅,,,,,,,年率
,　,,,,,,住宅金融機構,,,,,,,,マンション,,,一戸建て,,,,,　,,,,,,住宅金融機構,,,,,,,,マンション,,,一戸建て,,
,　,,床面積,,　,,,,　,,　,,　,,,,分譲に占,,,,,,　,,床面積,,　,,,,　,,　,,　,,,,分譲に占,,,
,戸数,前年比,,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,,前年比,める割合,,前年比,（千戸）,,,戸数,前年比,,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,,前年比,める割合,,前年比,（千戸）
平成　6年度,1560620.0,3.4,146616.0,8.8,580927.0,8.2,374503.0,13.5,574151.0,-11.9,27911.0,-10.4,377631.0,30.1,226820.0,43.6,60.1,144316.0,13.7,,,平成　6年度,1560620.0,3.4,146616.0,8.8,580927.0,8.2,374503.0,13.5,574151.0,-11.9,27911.0,-10.4,377631.0,30.1,226820.0,43.6,60.1,144316.0,13.7,
平成　7年度,1484652.0,-4.9,138139.0,-5.8,550544.0,-5.2,304737.0,-18.6,563652.0,-1.8,25790.0,-7.6,344666.0,-8.7,198372.0,-12.5,57.6,139945.0,-3.0,,,平成　7年度,1484652.0,-4.9,138139.0,-5.8,550544.0,-5.2,304737.0,-18.6,563652.0,-1.8,25790.0,-7.6,344666.0,-8.7,198372.0,-12.5,57.6,139945.0,-3.0,
平成　8年度,1630378.0,9.81549885090918,157014.0,13.7,636306.0,15.577683164288402,371138.0,21.7896087445896,616186.0,9.320289824217781,25847.0,0.22101589763474294,352039.0,2.139172416194242,199500.0,0.5686286371060447,56.7,147346.0,5.2885061988638284,,,平成　8年度,1630378.0,9.81549885090918,157014.0,13.7,636306.0,15.577683164288402,371138.0,21.7896087445896,616186.0,9.320289824217781,25847.0,0.22101589763474294,352039.0,2.139172416194242,199500.0,0.5686286371060447,56.7,147346.0,5.2885061988638284,
平成　9年度,1341347.0,-17.727852068661377,123751.0,-21.2,451091.0,-29.10785062532807,218575.0,-41.10681202140444,515838.0,-16.28534241284288,23725.0,-8.209850272758928,350693.0,-0.3823440016589075,210799.0,5.66365914786968,60.1,135742.0,-7.87534103402875,,,平成　9年度,1341347.0,-17.727852068661377,123751.0,-21.2,451091.0,-29.10785062532807,218575.0,-41.10681202140444,515838.0,-16.28534241284288,23725.0,-8.209850272758928,350693.0,-0.3823440016589075,210799.0,5.66365914786968,60.1,135742.0,-7.87534103402875,
平成　10年度,1179536.0,-12.063321422420898,110978.0,-10.3,438137.0,-2.8717043789390715,224385.0,2.658126501200968,443907.0,-13.944494201667965,15647.0,-34.04847207586934,281845.0,-19.631985810951463,166010.0,-21.247254493617135,58.9,112506.0,-17.11776752957816,,,平成　10年度,1179536.0,-12.063321422420898,110978.0,-10.3,438137.0,-2.8717043789390715,224385.0,2.658126501200968,443907.0,-13.944494201667965,15647.0,-34.04847207586934,281845.0,-19.631985810951463,166010.0,-21.247254493617135,58.9,112506.0,-17.11776752957816,
平成　11年度,1226207.0,3.95672535641134,119562.0,7.7,475632.0,8.557825520328109,269133.0,19.94250952603784,426020.0,-4.029447609521824,12445.0,-20.463986706716938,312110.0,10.738171690113347,192060.0,15.69182579362689,61.5,117576.0,4.506426323929389,,,平成　11年度,1226207.0,3.95672535641134,119562.0,7.7,475632.0,8.557825520328109,269133.0,19.94250952603784,426020.0,-4.029447609521824,12445.0,-20.463986706716938,312110.0,10.738171690113347,192060.0,15.69182579362689,61.5,117576.0,4.506426323929389,
平成　12年度,1213157.0,-1.0642575030153978,117523.071,-1.7,437789.0,-7.956361220439334,192277.0,-28.556884514347928,418200.0,-1.8355945730247498,10846.0,-12.848533547609492,346322.0,10.9615199769312,218311.0,13.668124544413189,63.037000248323814,125694.0,6.904470300061234,,,平成　12年度,1213157.0,-1.0642575030153978,117523.071,-1.7,437789.0,-7.956361220439334,192277.0,-28.556884514347928,418200.0,-1.8355945730247498,10846.0,-12.848533547609492,346322.0,10.9615199769312,218311.0,13.668124544413189,63.037000248323814,125694.0,6.904470300061234,
平成　13年度,1173170.0,-3.296110890841007,108800.293,-7.4221835132269405,377066.0,-13.870380480094298,192277.0,-28.556884514347928,442250.0,5.750836920133921,9936.0,-8.390189931772085,343918.0,-0.6941516854257088,222858.0,2.082808470484764,64.79974877732482,119009.0,-5.318471844320342,,,平成　13年度,1173170.0,-3.296110890841007,108800.293,-7.4221835132269405,377066.0,-13.870380480094298,192277.0,-28.556884514347928,442250.0,5.750836920133921,9936.0,-8.390189931772085,343918.0,-0.6941516854257088,222858.0,2.082808470484764,64.79974877732482,119009.0,-5.318471844320342,
平成　14年度,1145553.0,-2.3540492852698236,103437.892,-4.928664116740933,365507.0,-3.0655110776362733,46380.0,-56.66797466225685,454505.0,2.7710570944036164,9539.0,-3.995571658615134,316002.0,-8.117051157543358,198432.0,-10.960342460221312,62.79453927506788,115584.0,-2.8779336016603736,,,平成　14年度,1145553.0,-2.3540492852698236,103437.892,-4.928664116740933,365507.0,-3.0655110776362733,46380.0,-56.66797466225685,454505.0,2.7710570944036164,9539.0,-3.995571658615134,316002.0,-8.117051157543358,198432.0,-10.960342460221312,62.79453927506788,115584.0,-2.8779336016603736,
平成　15年度,1173649.0,2.452614588761932,104944.857,1.4568790709694497,373015.0,2.054133026180068,31761.0,-31.520051746442434,458708.0,0.9247423020648711,8101.0,-15.074955446063527,333825.0,5.640154176239392,202376.0,1.9875826479599965,60.623380513742234,129327.0,11.890053986710967,,,平成　15年度,1173649.0,2.452614588761932,104944.857,1.4568790709694497,373015.0,2.054133026180068,31761.0,-31.520051746442434,458708.0,0.9247423020648711,8101.0,-15.074955446063527,333825.0,5.640154176239392,202376.0,1.9875826479599965,60.623380513742234,129327.0,11.890053986710967,
平成　16年度,1193038.0,1.6520271392895154,105531.276,0.5587877450726353,367233.0,-1.5500717129338,15166.0,-52.24961430685432,467348.0,1.8835511916077223,9413.0,16.19553141587457,349044.0,4.558975511121105,207442.0,2.503261256275451,59.43147568787889,139430.0,7.811980483580385,,,平成　16年度,1193038.0,1.6520271392895154,105531.276,0.5587877450726353,367233.0,-1.5500717129338,15166.0,-52.24961430685432,467348.0,1.8835511916077223,9413.0,16.19553141587457,349044.0,4.558975511121105,207442.0,2.503261256275451,59.43147568787889,139430.0,7.811980483580385,
